name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
Escuela Infantil Ensanche,escuela-infantil-ensanche-albacete,escuela-infantil,publico,"Avenida Arquitecto Vandelvira, 73",02004,Franciscanos,albacete,Albacete,967222632,einfantil.ensanche@ayto-albacete.es,,0,36,,comedor,"Escuela Infantil Ensanche es un centro público de educación infantil de primer ciclo en Avenida Arquitecto Vandelvira, 73, 02004 (Albacete), gestionado por el Patronato Municipal de Escuelas Infantiles del Ayuntamiento de Albacete, dirigido a niños de 0 a 3 años. Dispone de servicio de comedor.",https://escuelas-infantiles.albacete.es/es/directorio/escuela-infantil-ensanche,Datos de fuente 1 accedidos indirectamente por bloqueo de red del portal municipal propio (ver docs/data-sources-albacete.md). Servicio de comedor confirmado de forma consistente entre snippets del portal municipal y notas de prensa sobre las 7 escuelas municipales.
Escuela Infantil Hermanos Falcó,escuela-infantil-hermanos-falco-albacete,escuela-infantil,publico,"Calle José de Espronceda, s/n",02006,,albacete,Albacete,967212998,einfantilhermanosfalco@ayto-albacete.es,,0,36,,comedor,"Ubicada en Calle José de Espronceda, s/n, 02006, Albacete, la Escuela Infantil Hermanos Falcó forma parte de la red de escuelas infantiles municipales gestionadas por el Patronato Municipal de Escuelas Infantiles del Ayuntamiento de Albacete, para niños de 0 a 3 años. Ofrece servicio de comedor.",https://escuelas-infantiles.albacete.es/es/directorio/escuela-infantil-hermanos-falco,Datos de fuente 1 accedidos indirectamente por bloqueo de red del portal municipal propio.
Escuela Infantil San Pablo,escuela-infantil-san-pablo-albacete,escuela-infantil,publico,"Calle Santiago Rusiñol, 69",02006,,albacete,Albacete,967235753,,,0,36,,comedor,"La Escuela Infantil San Pablo, en Calle Santiago Rusiñol, 69, 02006, Albacete, es uno de los siete centros municipales de primer ciclo de educación infantil gestionados por el Patronato Municipal de Escuelas Infantiles del Ayuntamiento de Albacete. Cuenta con servicio de comedor.",https://escuelas-infantiles.albacete.es/es/directorio/escuela-infantil-san-pablo,Datos de fuente 1 accedidos indirectamente por bloqueo de red del portal municipal propio. Sin email confirmado.
Escuela Infantil Paseo de la Cuba,escuela-infantil-paseo-de-la-cuba-albacete,escuela-infantil,publico,"Calle Doctor Alonso Vidal, 14",02006,,albacete,Albacete,967218463,einfantildoctorav@ayto-albacete.es,,0,36,De 7:30 a 16:00 h.,"comedor;horario-ampliado","Situada en Calle Doctor Alonso Vidal, 14, 02006, Albacete, la Escuela Infantil Paseo de la Cuba pertenece a la red del Patronato Municipal de Escuelas Infantiles del Ayuntamiento de Albacete y atiende a niños de 0 a 3 años en horario de 7:30 a 16:00 h, con servicio de comedor.",https://escuelas-infantiles.albacete.es/es/directorio/escuela-infantil-paseo-cuba,Horario y numero de aulas confirmados de forma consistente en snippet directo de ficha del portal municipal.
Escuela Infantil Los Almendros,escuela-infantil-los-almendros-albacete,escuela-infantil,publico,"Calle Ramón Gómez Redondo, 10",02006,,albacete,Albacete,967551339,einfantilramongr@ayto-albacete.es,,0,36,De 7:30 a 16:00 h.,"comedor;horario-ampliado","Escuela Infantil Los Almendros, en Calle Ramón Gómez Redondo, 10, 02006, Albacete, es un centro público del Patronato Municipal de Escuelas Infantiles del Ayuntamiento de Albacete, con acceso adaptado, horario de 7:30 a 16:00 h y servicio de comedor para niños de 0 a 3 años.",https://escuelas-infantiles.albacete.es/es/directorio/escuela-infantil-almendros,
Escuela Infantil Vereda,escuela-infantil-vereda-albacete,escuela-infantil,publico,"Calle Alcaraz, 7",02002,Vereda,albacete,Albacete,967237595,,,0,36,De 8:00 a 15:30 h.,comedor,"La Escuela Infantil Vereda, en Calle Alcaraz, 7, 02002, Albacete, forma parte de la red municipal de escuelas infantiles del Patronato Municipal del Ayuntamiento de Albacete, con tres aulas para niños de 0 a 3 años y horario de 8:00 a 15:30 h.",https://escuelas-infantiles.albacete.es/es/directorio/escuela-infantil-vereda,District 'Vereda' confirmado por coincidencia entre el nombre del propio centro y el barrio administrativo de la direccion segun geocodificacion abierta (Nominatim).
Escuela Infantil San Pedro-Mortero,escuela-infantil-san-pedro-mortero-albacete,escuela-infantil,publico,"Calle México con vuelta a Calle Ecuador, 1",02006,Pedro Lamata,albacete,Albacete,967510291,,,0,36,,comedor,"Escuela Infantil San Pedro-Mortero, en Calle México con vuelta a Calle Ecuador, 1, 02006, Albacete, es uno de los siete centros del Patronato Municipal de Escuelas Infantiles del Ayuntamiento de Albacete, para niños de 0 a 3 años, con servicio de comedor.",https://escuelas-infantiles.albacete.es/es/directorio/escuela-infantil-san-pedro-mortero,"Tambien citada como 'Escuela Infantil San Pedro' en algunas fuentes de prensa; se usa el nombre 'San Pedro-Mortero' por ser el que aparece en la URL propia del directorio municipal."
Escuela Infantil El Tren Azul,escuela-infantil-el-tren-azul-albacete,escuela-infantil,publico,"Plaza Francisco Jareño, s/n",02001,Polígono de San Antón,albacete,Albacete,967213361,02008993.ei@edu.jccm.es,,0,36,,,"Escuela Infantil El Tren Azul, en Plaza Francisco Jareño, s/n, 02001, Albacete (Polígono de San Antón), es un centro de titularidad autonómica de la Junta de Comunidades de Castilla-La Mancha, dirigido a niños de 0 a 2 años.",https://educacion.castillalamancha.es/admision-de-alumnado/escuelas-infantiles,"Direccion corregida de 'Alcazar de Toledo s/n' (citada en notas de prensa) a 'Plaza Francisco Jareño, s/n' tras confirmar mediante snippet de centroseducacion.com que ambas denominaciones corresponden a la misma ubicacion en el Poligono de San Anton. Rango de edad de admision autonomica es 0-1-2 anos (no incluye el tramo de 2-3, cubierto por la red municipal/privada). Sin servicios confirmados por fuente oficial en este sprint, por lo que no es indexable segun el gate del proyecto."
Escuela Infantil Virgen de los Llanos,escuela-infantil-virgen-de-los-llanos-albacete,escuela-infantil,publico,"Calle San Pedro, 21",02006,La Estrella,albacete,Albacete,967211770,02009018.ei@edu.jccm.es,,0,36,,,"En Calle San Pedro, 21, 02006, Albacete, la Escuela Infantil Virgen de los Llanos atiende el primer ciclo de educación infantil (0-2 años) como centro de titularidad autonómica de la Junta de Comunidades de Castilla-La Mancha.",https://educacion.castillalamancha.es/admision-de-alumnado/escuelas-infantiles,"Tambien citado como 'Los Llanos' en notas de prensa oficiales; se usa el nombre completo 'Virgen de los Llanos' confirmado en administracion.gob.es y todoeduca.com. Sin servicios confirmados por fuente oficial en este sprint."
Escuela Infantil Los Girasoles,escuela-infantil-los-girasoles-albacete,escuela-infantil,publico,"Calle Francisco Javier de Moya, 62",02006,Hospital,albacete,Albacete,967227902,flopezn@jccm.es,,0,36,,,"Escuela Infantil Los Girasoles, en Calle Francisco Javier de Moya, 62, 02006, Albacete, es un centro de titularidad autonómica de la Junta de Comunidades de Castilla-La Mancha para el primer ciclo de educación infantil (0-2 años).",https://educacion.castillalamancha.es/admision-de-alumnado/escuelas-infantiles,Sin servicios confirmados por fuente oficial en este sprint.
