name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
EI Benacantil,ei-benacantil-alicante,escuela-infantil,publico,"Calle Ejércitos Españoles, s/n",03014,,alicante,Alicante,965918710,,,0,36,,,"EI Benacantil es un centro público de educación infantil de primer ciclo en Calle Ejércitos Españoles, s/n, 03014 (Alicante), dirigido a niños de 0 a 3 años, según el Registre de Centres Docents de la Comunitat Valenciana.",https://dadesobertes.gva.es/va/dataset/edu-centros,
EI El Tossalet,ei-el-tossalet-alicante,escuela-infantil,publico,"Calle Cronista Vicente Martínez Morella, s/n",03014,,alicante,Alicante,965936200,03009968@gva.es,https://portal.edu.gva.es/03009968/,0,36,,comedor,"Situado en Calle Cronista Vicente Martínez Morella, s/n, 03014, Alicante, EI El Tossalet atiende el primer ciclo de educación infantil (0-3 años) dentro de la red pública de la Comunitat Valenciana.",https://dadesobertes.gva.es/va/dataset/edu-centros,
EI Rayuela,ei-rayuela-alicante,escuela-infantil,publico,"Calle Ciudad Real, 15",03005,,alicante,Alicante,965932520,03013571@gva.es,https://www.eirayuela.es/,0,36,Horario general de 9:00 a 16:00 h. Horario ampliado de 7:00 a 9:00 h y de 16:00 a 17:00 h.,horario-ampliado,"EI Rayuela, con sede en Calle Ciudad Real, 15, 03005 (Alicante), es un centro público de primer ciclo de infantil para niños de 0 a 3 años, registrado como centro docente de la Generalitat Valenciana. Horario general de 9:00 a 16:00 h. Horario ampliado de 7:00 a 9:00 h y de 16:00 a 17:00 h.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Escuela Infantil Municipal Els Xiquets,escuela-infantil-municipal-els-xiquets-alicante,escuela-infantil,publico,"Calle del Clot, 8",03011,,alicante,Alicante,965173565,elsxiquets@alicante.es,https://www.alicante.es/es/equipamientos/escuela-infantil-els-xiquets,0,36,Guardería de 7:45 a 9:00 h. Escuela infantil de 9:00 a 17:00 h. Curso del 8 de septiembre al 22 de julio.,horario-ampliado;comedor,"Escuela Infantil Municipal Els Xiquets es un centro público de educación infantil de primer ciclo en Calle del Clot, 8, 03011 (Alicante), dirigido a niños de 0 a 3 años, según el Registre de Centres Docents de la Comunitat Valenciana. Guardería de 7:45 a 9:00 h. Escuela infantil de 9:00 a 17:00 h. Curso del 8 de septiembre al 22 de julio.",https://www.alicante.es/es/area-tematica/escuelas-infantiles,"Gestionada por el Patronato Municipal de Educación Infantil del Ayuntamiento de Alicante. Comedor de carácter voluntario, con menús preparados en el propio centro."
Escuela Infantil Municipal Siete Enanitos,escuela-infantil-municipal-siete-enanitos-alicante,escuela-infantil,publico,"Calle Miguel Jiménez Reyes, 18-20-22",03015,,alicante,Alicante,965182385,7enanitos@alicante.es,https://www.alicante.es/es/equipamientos/escuela-infantil-siete-enanitos,0,36,Guardería de 7:45 a 9:00 h. Escuela infantil de 9:00 a 17:00 h. Curso del 8 de septiembre al 22 de julio.,horario-ampliado;comedor,"Situado en Calle Miguel Jiménez Reyes, 18-20-22, 03015, Alicante, Escuela Infantil Municipal Siete Enanitos atiende el primer ciclo de educación infantil (0-3 años) dentro de la red pública de la Comunitat Valenciana. Guardería de 7:45 a 9:00 h. Escuela infantil de 9:00 a 17:00 h. Curso del 8 de septiembre al 22 de julio.",https://www.alicante.es/es/area-tematica/escuelas-infantiles,"Gestionada por el Patronato Municipal de Educación Infantil del Ayuntamiento de Alicante. Comedor de carácter voluntario, con menús preparados en el propio centro. La dirección del registro oficial de la Generalitat indica el número 18; la ficha municipal detalla 18-20-22."
Ciudad Infantil San Jorge,ciudad-infantil-san-jorge-alicante,guarderia,privado,"Avenida del Doctor Rico, 15",03005,,alicante,Alicante,965927661,info@ciudadinfantilsanjorge.com,https://ciudadinfantilsanjorge.com/,0,36,,bilingue;actividades-extraescolares,"Ciudad Infantil San Jorge es un centro privado de educación infantil de primer ciclo en Avenida del Doctor Rico, 15, 03005 (Alicante), dirigido a niños de 0 a 3 años. Según su propia web oficial, ofrece: proyecto bilingüe, actividades extraescolares.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Vistahermosa Family School,vistahermosa-family-school-alicante,guarderia,privado,"Avenida de la Albufereta, 25",03016,,alicante,Alicante,965151752,,https://www.escuelavistahermosa.com/,0,36,,,"Vistahermosa Family School es un centro privado de educación infantil de primer ciclo en Avenida de la Albufereta, 25, 03016 (Alicante), dirigido a niños de 0 a 3 años. Los servicios concretos del centro no están confirmados en fuente oficial; conviene solicitarlos directamente.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Montessori,montessori-alicante,guarderia,privado,"Calle Hondón de los Frailes, 2",03005,,alicante,Alicante,965256245,info@eimontessori.com,https://www.alicantemontessori.com/,0,36,De 7:30 a 17:15 h.,comedor;horario-ampliado,"Ubicado en Calle Hondón de los Frailes, 2, 03005, Alicante, Montessori atiende el primer ciclo de infantil (0-3 años). Su web oficial confirma los siguientes servicios: comedor, horario ampliado.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Ángel de la Guarda,angel-de-la-guarda-alicante,guarderia,privado,"Calle Duque de Rivas, 10",03016,,alicante,Alicante,965261899,sec.inf@angeldelaguarda.eu,https://angeldelaguarda.eu/,0,36,,comedor;musica;psicomotricidad,"Ángel de la Guarda, con sede en Calle Duque de Rivas, 10, 03016 (Alicante), es un centro privado de primer ciclo de educación infantil que, según su propia web, ofrece comedor, música, psicomotricidad.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Elisa Tomás Yusti,elisa-tomas-yusti-alicante,guarderia,privado,"Camino del Faro, 31",03540,,alicante,Alicante,965263021,info@elisatomasyusti.es,https://www.elisatomasyusti.es/,0,36,,comedor;orientacion-pedagogica,"En Camino del Faro, 31, 03540, Alicante, Elisa Tomás Yusti es un centro privado dirigido a niños de 0 a 3 años. La información publicada en su web oficial confirma estos servicios: comedor, orientación pedagógica.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Nido,nido-alicante,guarderia,privado,"Calle El Chopo, 11-13",03015,,alicante,Alicante,965156851,,https://escuelainfantilnido.com/,0,36,,,"Localizado en Calle El Chopo, 11-13, 03015, Alicante, Nido figura en el registro de centros docentes de la Comunitat Valenciana como centro privado de primer ciclo de educación infantil. No hay constancia oficial de servicios adicionales.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Nuestra Escuela Garabatos,nuestra-escuela-garabatos-alicante,guarderia,privado,"Calle Jávea, 15",03009,,alicante,Alicante,965173001,direccion@nuestraescuelagarabatos.com,https://www.nuestraescuelagarabatos.es/,0,36,"De lunes a viernes, de 7:30 a 18:00 h (jornada completa de 8:45 a 16:45 h).",bilingue;horario-ampliado,"Nuestra Escuela Garabatos es un centro privado de educación infantil de primer ciclo en Calle Jávea, 15, 03009 (Alicante), dirigido a niños de 0 a 3 años. Según su propia web oficial, ofrece: proyecto bilingüe, horario ampliado.",https://dadesobertes.gva.es/va/dataset/edu-centros,
La Mar Salada,la-mar-salada-alicante,guarderia,privado,"Calle Manuel Azaña, s/n",03540,,alicante,Alicante,965159742,info@eilamarsalada.com,https://escuelalamarsalada.com/,0,36,,bilingue,"Ubicado en Calle Manuel Azaña, s/n, 03540, Alicante, La Mar Salada atiende el primer ciclo de infantil (0-3 años). Su web oficial confirma los siguientes servicios: proyecto bilingüe.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Gran Vía Parque Aventura,gran-via-parque-aventura-alicante,guarderia,privado,"Avenida Pintor Xavier Soler, 13",03015,,alicante,Alicante,966354050,gv@escuelainfantilgranvia.es,https://www.escuelainfantilgranvia.es/,0,36,"De lunes a viernes, de 7:30 a 18:00 h (verano hasta las 20:00 h).",bilingue;cocina-propia;horario-ampliado,"Gran Vía Parque Aventura, con sede en Avenida Pintor Xavier Soler, 13, 03015 (Alicante), es un centro privado de primer ciclo de educación infantil que, según su propia web, ofrece proyecto bilingüe, cocina propia, horario ampliado.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Princesa Mercedes,princesa-mercedes-alicante,guarderia,privado,"Calle Princesa Mercedes, 12-14",03006,,alicante,Alicante,965103891,,,0,36,,,"Princesa Mercedes, con sede en Calle Princesa Mercedes, 12-14, 03006 (Alicante), es un centro privado autorizado para el primer ciclo de educación infantil (0-3 años). Recomendamos confirmar servicios y horario directamente con el centro.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Picapiedra,picapiedra-alicante,guarderia,privado,"Calle Deportistas Hermanos Torres, 12",03016,,alicante,Alicante,965150663,escuelainfantilpicapiedra@gmail.com,https://escuelainfantilpicapiedra.com/,0,36,,,"En Calle Deportistas Hermanos Torres, 12, 03016, Alicante, Picapiedra atiende el primer ciclo de educación infantil según el registro oficial de centros docentes de la Generalitat Valenciana. No se ha podido confirmar información adicional sobre servicios concretos.",https://dadesobertes.gva.es/va/dataset/edu-centros,
