name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
Escola Bressol Municipal Aurora,escola-bressol-municipal-aurora-barcelona,escuela-infantil,publico,"Aurora, 24",08001,,barcelona,Barcelona,937060015,ebmaurora@bcn.cat,http://barcelona.cat/ebmaurora,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Aurora es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Ciutat Vella, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Cadí,escola-bressol-municipal-cadi-barcelona,escuela-infantil,publico,"Om, 11",08001,,barcelona,Barcelona,934424844,ebmcadi@bcn.cat,http://barcelona.cat/ebmcadi,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Cadí es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Ciutat Vella, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Canigó,escola-bressol-municipal-canigo-barcelona,escuela-infantil,publico,"Àngels, 7",08001,,barcelona,Barcelona,934417512,ebmcanigo@bcn.cat,http://barcelona.cat/ebmcanigo,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Canigó es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Ciutat Vella, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Carabassa,escola-bressol-municipal-carabassa-barcelona,escuela-infantil,publico,"Carabassa, 8 bis",08002,,barcelona,Barcelona,933435106,ebmcarabassa@bcn.cat,http://barcelona.cat/ebmcarabassa,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Carabassa es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Ciutat Vella, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal La Mar,escola-bressol-municipal-la-mar-barcelona,escuela-infantil,publico,"Andrea Doria, 40",08003,,barcelona,Barcelona,932215124,ebmlamar@bcn.cat,http://barcelona.cat/ebmlamar,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal La Mar es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Ciutat Vella, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Mont Tàber,escola-bressol-municipal-mont-taber-barcelona,escuela-infantil,publico,"Santa Elena, 4",08001,,barcelona,Barcelona,934417536,ebmmonttaber@bcn.cat,http://barcelona.cat/ebmmontaber,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Mont Tàber es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Ciutat Vella, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Portal Nou,escola-bressol-municipal-portal-nou-barcelona,escuela-infantil,publico,"Portal Nou, 2",08003,,barcelona,Barcelona,933101807,ebmportalnou@bcn.cat,http://barcelona.cat/ebmportalnou,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Portal Nou es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Ciutat Vella, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Puigmal,escola-bressol-municipal-puigmal-barcelona,escuela-infantil,publico,"Mònec, 2",08003,,barcelona,Barcelona,933101897,ebmpuigmal@bcn.cat,http://barcelona.cat/ebmpuigmal,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Puigmal es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Ciutat Vella, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Barrufets,escola-bressol-municipal-barrufets-barcelona,escuela-infantil,publico,"Marina, 356 interior",08025,,barcelona,Barcelona,934551042,ebmbarrufets@bcn.cat,http://barcelona.cat/ebmbarrufets,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Barrufets es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de l'Eixample, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Casa dels Nens,escola-bressol-municipal-casa-dels-nens-barcelona,escuela-infantil,publico,"Roger de Llúria, 132",08037,,barcelona,Barcelona,934763237,ebmcasadelsnens@bcn.cat,http://barcelona.cat/ebmcasadelsnens,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Casa dels Nens es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de l'Eixample, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
