name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
Escuela Infantil Municipal Barrio Peral,eim-barrio-peral-cartagena,escuela-infantil,publico,"Plaza Canthal, 2",30300,Barrio Peral,cartagena,Cartagena,637235455,eimperal@ayto-cartagena.es,,4,36,"Octubre a junio: centro abierto de 7:30 a 16:00 h, horario lectivo de 8:30 a 15:30 h, con comedor de 13:00 a 14:00 h y siesta de 14:00 a 15:30 h. Horario ampliado de 7:30 a 8:30 h y de 15:30 a 16:00 h. En julio, de 7:30 a 15:00 h",comedor;cocina-propia;horario-ampliado;servicio-madrugadores,"La Escuela Infantil Municipal Barrio Peral, en Plaza Canthal, 2, forma parte de la red de escuelas infantiles gestionadas por el Ayuntamiento de Cartagena. Atiende a niños de 4 meses a 3 años con comedor propio y horario ampliado hasta las 16:00 h. Las 1.010 plazas de la red municipal son gratuitas, aunque conviene informarse sobre plazos de matrícula con antelación.",https://educacion.cartagena.es/escuelas_infantiles.asp,
Escuela Infantil Municipal La Concepción,eim-la-concepcion-cartagena,escuela-infantil,publico,"Calle Peroniño, 68",30205,La Concepción,cartagena,Cartagena,637255731,eimconcepcion@ayto-cartagena.es,,4,36,"Octubre a junio: centro abierto de 7:30 a 16:00 h, horario lectivo de 8:30 a 15:30 h, con comedor de 13:00 a 14:00 h y siesta de 14:00 a 15:30 h. Horario ampliado de 7:30 a 8:30 h y de 15:30 a 16:00 h. En julio, de 7:30 a 15:00 h",comedor;cocina-propia;horario-ampliado;servicio-madrugadores,"Situada en Calle Peroniño, 68, en el barrio de La Concepción, esta escuela infantil municipal de Cartagena atiende a niños de 4 meses a 3 años. Dispone de 9 aulas, comedor elaborado en el propio centro y horario ampliado. Al ser gratuita, la demanda de plaza suele superar la oferta cada curso.",https://educacion.cartagena.es/escuelas_infantiles.asp,
Escuela Infantil Municipal La Milagrosa,eim-la-milagrosa-cartagena,escuela-infantil,publico,"Calle Sor Francisca Armendáriz, 17",30202,,cartagena,Cartagena,637235534,eimmilagrosa@ayto-cartagena.es,,4,36,"Octubre a junio: centro abierto de 7:30 a 16:00 h, horario lectivo de 8:30 a 15:30 h, con comedor de 13:00 a 14:00 h y siesta de 14:00 a 15:30 h. Horario ampliado de 7:30 a 8:30 h y de 15:30 a 16:00 h. En julio, de 7:30 a 15:00 h",comedor;cocina-propia;horario-ampliado;servicio-madrugadores,"El Ayuntamiento de Cartagena gestiona la Escuela Infantil Municipal La Milagrosa, en Calle Sor Francisca Armendáriz, 17, con 9 aulas para niños de 4 meses a 3 años. Ofrece comedor propio y matinal, dentro de una red municipal con más de 1.000 plazas gratuitas en todo el municipio.",https://educacion.cartagena.es/escuelas_infantiles.asp,
Escuela Infantil Municipal La Palma,eim-la-palma-cartagena,escuela-infantil,publico,"Calle Nectarina, s/n",30593,La Palma,cartagena,Cartagena,637256831,eimlapalma@ayto-cartagena.es,,4,36,"Octubre a junio: centro abierto de 7:30 a 16:00 h, horario lectivo de 8:30 a 15:30 h, con comedor de 13:00 a 14:00 h y siesta de 14:00 a 15:30 h. Horario ampliado de 7:30 a 8:30 h y de 15:30 a 16:00 h. En julio, de 7:30 a 15:00 h",comedor;cocina-propia;horario-ampliado;servicio-madrugadores,"La Escuela Infantil Municipal La Palma, en Calle Nectarina, s/n, atiende a niños de 4 meses a 3 años en la pedanía de La Palma. Cuenta con 6 aulas amplias, comedor propio y horario ampliado, dentro de la red gratuita de escuelas infantiles del Ayuntamiento de Cartagena.",https://educacion.cartagena.es/escuelas_infantiles.asp,
Escuela Infantil Municipal Pozo Estrecho,eim-pozo-estrecho-cartagena,escuela-infantil,publico,"Avenida Vasco Núñez de Balboa, 2",30594,Pozo Estrecho,cartagena,Cartagena,637255761,EIMPozo@ayto-cartagena.es,,4,36,"Octubre a junio: centro abierto de 7:30 a 16:00 h, horario lectivo de 8:30 a 15:30 h, con comedor de 13:00 a 14:00 h y siesta de 14:00 a 15:30 h. Horario ampliado de 7:30 a 8:30 h y de 15:30 a 16:00 h. En julio, de 7:30 a 15:00 h",comedor;cocina-propia;horario-ampliado;servicio-madrugadores,"En Avenida Vasco Núñez de Balboa, 2, en la pedanía de Pozo Estrecho, la Escuela Infantil Municipal Pozo Estrecho atiende a niños de 4 meses a 3 años con 6 aulas, comedor propio y horario ampliado, dentro de la red gratuita del Ayuntamiento de Cartagena.",https://educacion.cartagena.es/escuelas_infantiles.asp,
Escuela Infantil Municipal San Isidoro,eim-san-isidoro-cartagena,escuela-infantil,publico,"Calle Santa Trinidad, s/n (Los Mateos)",30202,Los Mateos,cartagena,Cartagena,637255926,EIMMateos@ayto-cartagena.es,,4,36,"Octubre a junio: centro abierto de 7:30 a 16:00 h, horario lectivo de 8:30 a 15:30 h, con comedor de 13:00 a 14:00 h y siesta de 14:00 a 15:30 h. Horario ampliado de 7:30 a 8:30 h y de 15:30 a 16:00 h. En julio, de 7:30 a 15:00 h",comedor;cocina-propia;horario-ampliado;servicio-madrugadores,"Ubicada en Calle Santa Trinidad, s/n, en el barrio de Los Mateos, la Escuela Infantil Municipal San Isidoro atiende a niños de 4 meses a 3 años con 3 aulas, comedor propio y horario ampliado, dentro de la red gratuita del Ayuntamiento de Cartagena.",https://educacion.cartagena.es/escuelas_infantiles.asp,
Escuela Infantil Municipal Villalba,eim-villalba-cartagena,escuela-infantil,publico,"Barriada de Villalba, s/n",30205,Villalba,cartagena,Cartagena,637256834,eimvillalba@ayto-cartagena.es,,4,36,"Octubre a junio: centro abierto de 7:30 a 16:00 h, horario lectivo de 8:30 a 15:30 h, con comedor de 13:00 a 14:00 h y siesta de 14:00 a 15:30 h. Horario ampliado de 7:30 a 8:30 h y de 15:30 a 16:00 h. En julio, de 7:30 a 15:00 h",comedor;cocina-propia;horario-ampliado;servicio-madrugadores,"La Escuela Infantil Municipal Villalba, en la Barriada de Villalba, atiende a niños de 4 meses a 3 años en un centro con 5 aulas, comedor propio y transporte escolar, integrado en la red gratuita de escuelas infantiles del Ayuntamiento de Cartagena.",https://educacion.cartagena.es/escuelas_infantiles.asp,
Escuela Infantil Municipal Virgen de la Caridad,eim-virgen-de-la-caridad-cartagena,escuela-infantil,publico,"Calle Alcalde Cazorla Rico, s/n",30203,Virgen de la Caridad,cartagena,Cartagena,637255376,EIMSeiscientas@ayto-cartagena.es,,4,36,"Octubre a junio: centro abierto de 7:30 a 16:00 h, horario lectivo de 8:30 a 15:30 h, con comedor de 13:00 a 14:00 h y siesta de 14:00 a 15:30 h. Horario ampliado de 7:30 a 8:30 h y de 15:30 a 16:00 h. En julio, de 7:30 a 15:00 h",comedor;cocina-propia;horario-ampliado;servicio-madrugadores,"En Calle Alcalde Cazorla Rico, s/n, en la barriada de Virgen de la Caridad, esta escuela infantil municipal de Cartagena atiende a niños de 4 meses a 3 años en 10 aulas, con comedor propio y educador de apoyo a la integración.",https://educacion.cartagena.es/escuelas_infantiles.asp,
Escuela Infantil Municipal Vista Alegre,eim-vista-alegre-cartagena,escuela-infantil,publico,"Calle San José, s/n",30392,Vista Alegre,cartagena,Cartagena,637256019,EIMValegre@ayto-cartagena.es,,4,36,"Octubre a junio: centro abierto de 7:30 a 16:00 h, horario lectivo de 8:30 a 15:30 h, con comedor de 13:00 a 14:00 h y siesta de 14:00 a 15:30 h. Horario ampliado de 7:30 a 8:30 h y de 15:30 a 16:00 h. En julio, de 7:30 a 15:00 h",comedor;cocina-propia;horario-ampliado;servicio-madrugadores,"La Escuela Infantil Municipal Vista Alegre, en la barriada de Vista Alegre, atiende a niños de 4 meses a 3 años en 4 aulas amplias. Forma parte de la red gratuita de escuelas infantiles del Ayuntamiento de Cartagena, con comedor propio y horario ampliado.",https://educacion.cartagena.es/escuelas_infantiles.asp,
Escuela Infantil Municipal Bambi,eim-bambi-cartagena,escuela-infantil,publico,"Calle Mejorana, 2",30366,El Algar,cartagena,Cartagena,637255837,eimelalgar@ayto-cartagena.es,,4,36,"Octubre a junio: centro abierto de 7:30 a 16:00 h, horario lectivo de 8:30 a 15:30 h, con comedor de 13:00 a 14:00 h y siesta de 14:00 a 15:30 h. Horario ampliado de 7:30 a 8:30 h y de 15:30 a 16:00 h. En julio, de 7:30 a 15:00 h",comedor;cocina-propia;horario-ampliado;servicio-madrugadores,"La Escuela Infantil Municipal Bambi, en Calle Mejorana, 2, atiende a niños de 4 meses a 3 años en la pedanía de El Algar. Es uno de los once centros públicos de la red gratuita de escuelas infantiles del Ayuntamiento de Cartagena, con comedor propio y horario ampliado.",https://educacion.cartagena.es/escuelas_infantiles.asp,
Escuela Infantil Municipal La Aljorra,eim-la-aljorra-cartagena,escuela-infantil,publico,"Calle Híspalis, 9",30390,La Aljorra,cartagena,Cartagena,637255276,eimaljorra@ayto-cartagena.es,,4,36,"Octubre a junio: centro abierto de 7:30 a 16:00 h, horario lectivo de 8:30 a 15:30 h, con comedor de 13:00 a 14:00 h y siesta de 14:00 a 15:30 h. Horario ampliado de 7:30 a 8:30 h y de 15:30 a 16:00 h. En julio, de 7:30 a 15:00 h",comedor;cocina-propia;horario-ampliado;servicio-madrugadores,"En Calle Híspalis, 9, en la pedanía de La Aljorra, el Ayuntamiento de Cartagena gestiona esta escuela infantil municipal para niños de 4 meses a 3 años, con comedor propio y horario ampliado hasta las 16:00 h, dentro de la red gratuita del municipio.",https://educacion.cartagena.es/escuelas_infantiles.asp,
Alevines,alevines-cartagena,guarderia,privado,"Calle Subida del Nazareno, s/n",30202,,cartagena,Cartagena,636307092,alevinescartagena@gmail.com,,0,36,,,"Alevines aparece registrada en el mapa escolar de la Región de Murcia como centro privado de educación infantil, con dirección en Calle Subida del Nazareno, s/n, 30202, en Cartagena. Atiende a niños de 0 a 3 años. Para conocer horarios, servicios y disponibilidad de plazas, lo recomendable es ponerse en contacto con el centro.",https://mapaescolar.murciaeduca.es/mapaescolar-api/api/centros,
Pepico Paluco,pepico-paluco-cartagena,guarderia,privado,"Calle Jiménez de la Espada, 21 - B",30205,,cartagena,Cartagena,968500400,p.paluco@hotmail.com,http://www.pepicopaluco.es/,0,36,,,"Con dirección en Calle Jiménez de la Espada, 21 - B, en Cartagena, Pepico Paluco es un centro privado de educación infantil que atiende el primer ciclo (0-3 años) desde hace más de una década. El mapa escolar de la Consejería de Educación no detalla servicios adicionales, por lo que recomendamos confirmarlos directamente con el centro.",https://mapaescolar.murciaeduca.es/mapaescolar-api/api/centros,
Nice Day,nice-day-cartagena,guarderia,privado,"Calle Hermano Pedro Ignacio, 2",30203,,cartagena,Cartagena,619407562,tano.arias@hotmail.com,https://www.nicedayschool.es/centro-infantil-britanico-cartagena/,0,36,"De 7:45 a 17:00 h, con entrada anticipada de 7:45 a 8:30 h y horario de tarde ampliado hasta las 17:00 h",bilingue;ingles;psicomotricidad;patio-exterior,"Nice Day es un centro privado de educación infantil en Calle Hermano Pedro Ignacio, 2, en Cartagena, con inmersión en inglés impartida por personal nativo británico. Su web confirma psicomotricidad y patio exterior con huerto, en un horario de 7:45 a 17:00 h.",https://mapaescolar.murciaeduca.es/mapaescolar-api/api/centros,
Mediterráneo Cartagena,mediterraneo-cartagena,guarderia,privado,"Calle Abadesa, 5",30310,,cartagena,Cartagena,608653103,mediterraneo@cativos.com,https://cativos.com/mediterraneo/,0,36,,comedor,"Mediterráneo Cartagena, en Calle Abadesa, 5, es un centro privado de la red Cativos dedicado al primer ciclo de educación infantil (0-3 años). Su web confirma servicio de comedor; el resto de horarios y condiciones conviene consultarlos directamente con el centro.",https://mapaescolar.murciaeduca.es/mapaescolar-api/api/centros,
El País de Nunca Jamás,el-pais-de-nunca-jamas-cartagena,guarderia,privado,"Calle Antonio Serrano, esquina Tomás Ferro",30593,La Palma,cartagena,Cartagena,606217494,nuncajamas0-3@hotmail.com,,0,36,,,"El País de Nunca Jamás es una guardería privada situada en Calle Antonio Serrano, esquina Tomás Ferro, en la pedanía de La Palma, dedicada a niños de 0 a 3 años según consta en el mapa escolar de la Región de Murcia. Recomendamos contactar con el centro para conocer horarios, servicios y plazas disponibles.",https://mapaescolar.murciaeduca.es/mapaescolar-api/api/centros,
La Cometa de los Dolores,la-cometa-de-los-dolores-cartagena,guarderia,privado,"Calle Turín, 3, Polígono Residencial Santa Ana",30319,Los Dolores,cartagena,Cartagena,968310188,ceilacometa@hotmail.es,https://www.ceilacometa.es/,0,36,,,"La Cometa de los Dolores, en Calle Turín, 3 (Polígono Residencial Santa Ana), es un centro privado de educación infantil de la pedanía de Los Dolores, autorizado para el primer ciclo (0-3 años). Su web propia no detalla servicios concretos, por lo que conviene confirmarlos directamente con el centro.",https://mapaescolar.murciaeduca.es/mapaescolar-api/api/centros,
