name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
EI Nuestra Señora de Lourdes,ei-nuestra-senora-de-lourdes-castellon-de-la-plana,escuela-infantil,publico,"Plaza Teodoro Izquierdo, 1",12004,,castellon-de-la-plana,Castellón de la Plana,964738375,,https://portal.edu.gva.es/escolainfatilnuestrasenoradelourdes/es/,0,36,,psicomotricidad;patio-exterior,"EI Nuestra Señora de Lourdes es un centro público de educación infantil de primer ciclo en Plaza Teodoro Izquierdo, 1, 12004 (Castellón de la Plana), dirigido a niños de 0 a 3 años, según el Registre de Centres Docents de la Comunitat Valenciana. Según fuente oficial, ofrece psicomotricidad, patio exterior.",https://dadesobertes.gva.es/va/dataset/edu-centros,
EI Mar de Somnis,ei-mar-de-somnis-castellon-de-la-plana,escuela-infantil,publico,"Calle El Palmeral, 2",12100,El Grao,castellon-de-la-plana,Castellón de la Plana,964738830,,https://portal.edu.gva.es/mardesomnis/es/centro/,0,36,,comedor;patio-exterior,"Situado en Calle El Palmeral, 2, 12100, Castellón de la Plana, EI Mar de Somnis atiende el primer ciclo de educación infantil (0-3 años) dentro de la red pública de la Comunitat Valenciana. Servicios confirmados: comedor, patio exterior.",https://dadesobertes.gva.es/va/dataset/edu-centros,"Situada en el distrito de El Grao (Grau de Castelló), uno de los 6 distritos administrativos oficiales del municipio, con localidad propia ""GRAU DE CASTELLÓ"" en el registro oficial."
Escuela Infantil Municipal Los Duendes,escuela-infantil-municipal-los-duendes-castellon-de-la-plana,escuela-infantil,publico,"Grupo San Lorenzo, Carretera Ribesalbes, s/n",12006,,castellon-de-la-plana,Castellón de la Plana,964246802,,,0,36,,,"Escuela Infantil Municipal Los Duendes, con sede en Grupo San Lorenzo, Carretera Ribesalbes, s/n, 12006 (Castellón de la Plana), es un centro público de primer ciclo de infantil para niños de 0 a 3 años, registrado como centro docente de la Generalitat Valenciana.",https://dadesobertes.gva.es/va/dataset/edu-centros,"No se localizo web oficial propia verificable (fuentes de terceros mencionan una escuela trilingue de gestion privada con el mismo nombre en otra ubicacion/ciudad, que no se ha usado como fuente por no poder confirmarse que corresponda a este centro). Servicios no confirmados."
Escuela Infantil Municipal Chupetes,escuela-infantil-municipal-chupetes-castellon-de-la-plana,escuela-infantil,publico,"Calle Antonio Prades Safont, s/n",12004,,castellon-de-la-plana,Castellón de la Plana,964269307,eichupetes@eulen.com,https://escuelachupetes.com/,0,36,Horario central de 9:00 a 17:00 h. Horario ampliado de 7:30 a 9:00 h y de 17:00 a 18:00 h (según demanda).,comedor;horario-ampliado;musica;psicomotricidad;verano-campamentos,"Escuela Infantil Municipal Chupetes es una escuela infantil de titularidad municipal en Calle Antonio Prades Safont, s/n, 12004 (Castellón de la Plana), dirigida a niños de 0 a 3 años, gestionada por concesión del Ajuntament de Castelló de la Plana. Según su propia web oficial, ofrece comedor, horario ampliado, música, psicomotricidad, escuela de verano.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Escuela Infantil Municipal Biberons,escuela-infantil-municipal-biberons-castellon-de-la-plana,escuela-infantil,publico,"Calle Desierto de las Palmas, 5",12006,,castellon-de-la-plana,Castellón de la Plana,964210099,eibiberons@eulen.com,https://escuelabiberons.com/,0,36,"Horario ampliado de mañana de 7:30 a 9:00 h. Horario central de 9:00 a 17:00 h (salidas a las 12:00, 15:15 y 16:30 h). Horario ampliado de tarde de 17:00 a 18:00 h.",comedor;horario-ampliado;verano-campamentos,"Situada en Calle Desierto de las Palmas, 5, 12006, Castellón de la Plana, Escuela Infantil Municipal Biberons forma parte de la red de escuelas infantiles municipales de Castelló de la Plana para el primer ciclo de infantil (0-3 años). La web oficial del centro confirma: comedor, horario ampliado, escuela de verano.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Escuela Infantil Municipal Peücs,escuela-infantil-municipal-peucs-castellon-de-la-plana,escuela-infantil,publico,"Calle José María Mulet Ortiz, 10",12006,,castellon-de-la-plana,Castellón de la Plana,964731213,eipeucs@eulen.com,https://escuelapeucs.com/,0,36,Horario ampliado de mañana de 7:30 a 9:00 h. Horario central de 9:00 a 17:00 h (salidas a las 12:00 y 15:15 h). Horario ampliado de tarde de 17:00 a 18:00 h.,comedor;horario-ampliado;verano-campamentos,"Escuela Infantil Municipal Peücs, con sede en Calle José María Mulet Ortiz, 10, 12006 (Castellón de la Plana), atiende el primer ciclo de educación infantil (0-3 años) dentro de la red municipal de Castelló de la Plana. Su propia web confirma los siguientes servicios: comedor, horario ampliado, escuela de verano.",https://dadesobertes.gva.es/va/dataset/edu-centros,"La direccion segun la web oficial propia del centro (""C/ Jose Ma Mulet Ortiz, 10"") difiere ligeramente del numero registrado en el CSV de la Generalitat (""s/n""); se ha usado la version de la web oficial del centro, mas especifica."
Escuela Infantil San Cristóbal,escuela-infantil-san-cristobal-castellon-de-la-plana,guarderia,privado,"Calle Moncófar, 6",12003,,castellon-de-la-plana,Castellón de la Plana,964233114,,https://www.sancristobalsl.com/educacion-infantil-primer-ciclo/,0,36,,bilingue;ingles;musica;psicomotricidad,"Escuela Infantil San Cristóbal es un centro privado de educación infantil de primer ciclo en Calle Moncófar, 6, 12003 (Castellón de la Plana), dirigido a niños de 0 a 3 años. Según su propia web oficial, ofrece: proyecto bilingüe, inglés, música, psicomotricidad.",https://dadesobertes.gva.es/va/dataset/edu-centros,"Etapa de primer ciclo (0-3) del Colegio Internacional San Cristobal (centro con etapas educativas mas amplias). Solo se incluye el primer ciclo, unico dato del MVP."
CEI Los Ángeles,cei-los-angeles-castellon-de-la-plana,guarderia,privado,"Camino Fadrell, s/n",12005,,castellon-de-la-plana,Castellón de la Plana,964213635,info@escuelainfantilosangeles.com,https://www.escuelainfantilosangeles.com/,0,36,Horario ampliado de 7:30 a 18:00 h.,comedor;cocina-propia;horario-ampliado;patio-exterior;verano-campamentos,"Ubicado en Camino Fadrell, s/n, 12005, Castellón de la Plana, CEI Los Ángeles atiende el primer ciclo de infantil (0-3 años). Su web oficial confirma los siguientes servicios: comedor, cocina propia, horario ampliado, patio exterior, escuela de verano.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Mikole,mikole-castellon-de-la-plana,guarderia,privado,"Calle Cuadra Saboner, 4",12006,,castellon-de-la-plana,Castellón de la Plana,964270368,,,0,36,,,"Mikole es un centro privado de educación infantil de primer ciclo en Calle Cuadra Saboner, 4, 12006 (Castellón de la Plana), dirigido a niños de 0 a 3 años, según el Registre de Centres Docents de la Comunitat Valenciana.",https://dadesobertes.gva.es/va/dataset/edu-centros,No se localizo web oficial propia accesible y verificable dentro del alcance de esta investigacion.
L'Om,lom-castellon-de-la-plana,guarderia,privado,"Calle L'Illa de Baleato, 35",12006,,castellon-de-la-plana,Castellón de la Plana,638232034,escolaom@gmail.com,https://www.lomescolainfantil.com/,0,36,,,"Ubicado en Calle L'Illa de Baleato, 35, 12006, Castellón de la Plana, L'Om figura en el registro oficial de centros docentes de la Comunitat Valenciana como centro privado de primer ciclo de educación infantil. No hay constancia oficial de servicios adicionales.",https://dadesobertes.gva.es/va/dataset/edu-centros,"Cooperativa valenciana. La web oficial confirma enfoque pedagogico (""espacio de acompanamiento respetuoso"") pero no detalla servicios concretos del enum con precision suficiente."
