name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
El Tablerillo,el-tablerillo-cordoba,guarderia,privado,"Ctra. de Las Ermitas, 48",14012,,cordoba,Córdoba,957272001,tablerillo@escuelainfantileltablerillo.com,,4,36,,,"Centro de educación infantil de primer ciclo situado en Ctra. de Las Ermitas, 48, 14012, Córdoba: El Tablerillo, no adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. No consta información oficial adicional sobre servicios concretos en el momento de esta consulta.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Bética-Mudarra,betica-mudarra-cordoba,guarderia,privado,"C/ Vandalino, 6",14012,,cordoba,Córdoba,957275600,beticas@telefonica.net,https://betica-mudarra.org/cei/,4,36,"Aula matinal de 7:30 a 9:00 horas (según su web oficial, a nivel de centro).",comedor|cocina-propia|servicio-madrugadores|patio-exterior,"Situado en C/ Vandalino, 6, 14012, Córdoba, Bética-Mudarra confirma en su web oficial los siguientes servicios para el primer ciclo de educación infantil: comedor, cocina propia, servicio de madrugadores/aula matinal, patio exterior.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
La Salle,la-salle-cordoba,guarderia,privado,"C/ San Juan Bautista de la Salle, 7",14012,,cordoba,Córdoba,957275700,secretaria@lasallecordoba.es,https://lasallecordoba.es/escuela-infantil-la-salle-0-3-anos/,4,36,,comedor|servicio-madrugadores|orientacion-pedagogica,"Con sede en C/ San Juan Bautista de la Salle, 7, 14012, Córdoba, La Salle es un centro privado de primer ciclo de educación infantil que confirma en su web oficial servicios como comedor, servicio de madrugadores/aula matinal, orientación pedagógica.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
El Nido,el-nido-cordoba,guarderia,privado,"C/ Ciudad de Moncada, 7",14012,,cordoba,Córdoba,957275064,belen.carrasco@elnidopvb.com,,4,36,,,"El Nido es un centro privado de educación infantil de primer ciclo en C/ Ciudad de Moncada, 7, 14012 (Córdoba), no adherido al Programa de Ayuda a las Familias de la Junta de Andalucía según el registro oficial. Se recomienda consultar servicios y precio directamente con el centro.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
El Jardincito,el-jardincito-cordoba,guarderia,privado,"C/ Libertador Sucre, 8",14013,,cordoba,Córdoba,634339357,patriciadireccionjardin@outlook.es,,4,36,,,"El Jardincito atiende el primer ciclo de educación infantil (0-3 años) en C/ Libertador Sucre, 8, 14013, Córdoba. Es un centro adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. Los servicios específicos del centro no están confirmados en fuente oficial; conviene solicitarlos directamente.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Los Azahares,los-azahares-cordoba,guarderia,privado,"C/ Compositor Gómez Navarro, 30",14005,,cordoba,Córdoba,957460291,capema10@hotmail.com,,4,36,,,"Localizado en C/ Compositor Gómez Navarro, 30, 14005, Córdoba, Los Azahares es un centro privado incluido en el registro de centros de primer ciclo de educación infantil de la Junta de Andalucía, adherido al Programa de Ayuda a las Familias. No hay constancia oficial de servicios adicionales.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Supli,supli-cordoba,guarderia,privado,"C/ Baena, 1",14009,,cordoba,Córdoba,675648035,suplisur@supli.es,,4,36,,,"Supli, con sede en C/ Baena, 1, 14009 (Córdoba), figura en el listado de centros de primer ciclo de educación infantil de la Junta de Andalucía, adherido al Programa de Ayuda a las Familias. Recomendamos confirmar servicios y horario directamente con el centro.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
San José,san-jose-cordoba,guarderia,privado,"Plaza Ángel de Torres, 5",14003,,cordoba,Córdoba,957292768,ceisanjose.fdmartires@gmail.com,,4,36,,,"En Plaza Ángel de Torres, 5, 14003, Córdoba, San José es un centro privado de primer ciclo de educación infantil (0-3 años), adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. Sus servicios concretos no están recogidos en la fuente oficial consultada.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
María Auxiliadora,maria-auxiliadora-cordoba,guarderia,privado,"C/ Cisne, 6",14002,,cordoba,Córdoba,957822964,mariaauxiliadoradecordoba@gmail.com,,4,36,,,"En C/ Cisne, 6, 14002, Córdoba, María Auxiliadora es un centro privado de primer ciclo de educación infantil (0-3 años), adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. Sus servicios concretos no están recogidos en la fuente oficial consultada.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
El Tren,el-tren-cordoba,guarderia,privado,"C/ Cronista Salcedo Hierro, s/n",14001,,cordoba,Córdoba,957483605,guarderiaeltren@yahoo.es,,4,36,,,"El Tren es un centro privado de educación infantil de primer ciclo en C/ Cronista Salcedo Hierro, s/n, 14001 (Córdoba), adherido al Programa de Ayuda a las Familias de la Junta de Andalucía según el registro oficial. No hay servicios adicionales confirmados en fuente oficial; se recomienda consultarlos directamente con el centro.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
