name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
La Asunción,la-asuncion-granada,guarderia,privado,"C/ Martínez de la Rosa, 5",18002,,granada,Granada,958201731,secretaria@asunciongranada.es,,4,36,,,"La Asunción es un centro privado de educación infantil de primer ciclo en C/ Martínez de la Rosa, 5, 18002 (Granada). Según el registro oficial de la Junta de Andalucía, no figura adherido al Programa de Ayuda a las Familias. No hay servicios adicionales confirmados en fuente oficial.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Nazaret,nazaret-granada,guarderia,privado,"C/ Obispo Hurtado, 6",18002,,granada,Granada,958254734,18002978.edu@juntadeandalucia.es,https://colegionazaretgranada.es/,4,36,,horario-ampliado;psicomotricidad;actividades-extraescolares,"En C/ Obispo Hurtado, 6, 18002, Granada, Nazaret atiende a niños de 0 a 3 años dentro del primer ciclo de educación infantil. No figura adherido al Programa de Ayuda a las Familias de la Junta de Andalucía; su web oficial confirma servicios de horario ampliado, psicomotricidad y actividades extraescolares.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Mami,mami-granada,guarderia,privado,"C/ Arabial, 79. Edificio Alhambra",18004,,granada,Granada,958272016,c_i_mami@hotmail.com,,4,36,,,"Mami es un centro privado de educación infantil de primer ciclo en C/ Arabial, 79. Edificio Alhambra, 18004 (Granada), adherido al Programa de Ayuda a las Familias de la Junta de Andalucía según el registro oficial. No hay servicios adicionales confirmados en fuente oficial; se recomienda consultarlos directamente con el centro.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Snoopy,snoopy-granada,guarderia,privado,"C/ Palencia, 17",18007,,granada,Granada,958817974,centroisnoopy@hotmail.com,,4,36,,,"Snoopy atiende el primer ciclo de educación infantil (0-3 años) en C/ Palencia, 17, 18007, Granada. Es un centro adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. Los servicios específicos del centro no están confirmados en fuente oficial; conviene solicitarlos directamente.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Babyschool Granada,babyschool-granada-granada,guarderia,privado,"C/ Albondón, s/n. Urb. Mirador de la Vega",18003,,granada,Granada,958945297,18004173.edu@juntadeandalucia.es,https://babyschoolgranada.es/,4,36,,bilingue;patio-exterior;horario-ampliado,"En C/ Albondón, s/n. Urb. Mirador de la Vega, 18003, Granada, Babyschool Granada atiende a niños de 0 a 3 años dentro del primer ciclo de educación infantil. Está adherido al Programa de Ayuda a las Familias de la Junta de Andalucía y su web oficial confirma servicios de proyecto bilingüe, patio exterior y horario ampliado.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
San Isidoro,san-isidoro-granada,guarderia,privado,"C/ Profesor Luis Molina Gómez, 1",18004,,granada,Granada,958202108,info@cisidoro.com,https://cisidoro.com/,4,36,,comedor;cocina-propia;horario-ampliado,"San Isidoro es un centro privado de educación infantil de primer ciclo (0-3 años) en C/ Profesor Luis Molina Gómez, 1, 18004 (Granada), sin adhesión al Programa de Ayuda a las Familias según el registro oficial. Según su propia web, ofrece comedor, cocina propia y horario ampliado.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Aldeas Infantiles SOS,aldeas-infantiles-sos-granada,guarderia,privado,"Ctra. de Murcia, 69",18010,,granada,Granada,655318572,bcara@aldeasinfantiles.es,,4,36,,,"En Ctra. de Murcia, 69, 18010, Granada, Aldeas Infantiles SOS es un centro privado de primer ciclo de educación infantil (0-3 años), adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. Sus servicios concretos no están recogidos en la fuente oficial consultada.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Monaita,monaita-granada,guarderia,privado,"Ctra. de Pinos Puente, s/n",18015,,granada,Granada,958806940,carmela.perez@monaita-mulhacen.com,https://attendis.com/colegios-granada/mulhacen/,4,36,,comedor;cocina-propia;bilingue,"Monaita es un centro privado de educación infantil de primer ciclo (0-3 años) en Ctra. de Pinos Puente, s/n, 18015 (Granada), sin adhesión al Programa de Ayuda a las Familias según el registro oficial. Según su propia web, ofrece comedor, cocina propia y proyecto bilingüe.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Garabatos,garabatos-granada,guarderia,privado,"C/ Astrofísica, 4",18008,,granada,Granada,958817506,abgarabatos@gmail.com,,4,36,,,"Centro de educación infantil de primer ciclo situado en C/ Astrofísica, 4, 18008, Granada: Garabatos, adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. No consta información oficial adicional sobre servicios concretos en el momento de esta consulta.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Garabatos de Arabial,garabatos-de-arabial-granada,guarderia,privado,"C/ Escultor Antonio Martínez Olalla, 5",18003,,granada,Granada,958200409,abgarabatos@gmail.com,,4,36,,,"Garabatos de Arabial es un centro privado de educación infantil de primer ciclo en C/ Escultor Antonio Martínez Olalla, 5, 18003 (Granada), adherido al Programa de Ayuda a las Familias de la Junta de Andalucía según el registro oficial. No hay servicios adicionales confirmados en fuente oficial; se recomienda consultarlos directamente con el centro.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
