name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
El Salvador,el-salvador-jerez,guarderia,privado,"Plaza Ponce de León, 1",11403,,jerez-de-la-frontera,Jerez de la Frontera,956341688,elsalvadorjf@planalfa.es,,4,36,,,"El Salvador, situado en Plaza Ponce de León, 1, 11403, Jerez de la Frontera, atiende el primer ciclo de educación infantil (0-3 años) y figura adherido al Programa de Ayuda a las Familias de la Junta de Andalucía.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Mundo Nuevo,mundo-nuevo-jerez,guarderia,privado,"C/ Ventura Misa, 18",11401,,jerez-de-la-frontera,Jerez de la Frontera,656913893,11003333.edu@juntadeandalucia.es,,4,36,,,"Mundo Nuevo, situado en C/ Ventura Misa, 18, 11401, Jerez de la Frontera, atiende el primer ciclo de educación infantil (0-3 años) y figura adherido al Programa de Ayuda a las Familias de la Junta de Andalucía.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
El Centro,el-centro-jerez,guarderia,privado,"Plaza Quemada, 9",11402,,jerez-de-la-frontera,Jerez de la Frontera,956332782,elcentrocei@gmail.com,,4,36,,,"El Centro ofrece primer ciclo de educación infantil (0-3 años) en Plaza Quemada, 9, 11402, Jerez de la Frontera. Según el registro oficial de la Junta de Andalucía, el centro está adherido al Programa de Ayuda a las Familias.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
El Pastorcito Divino,el-pastorcito-divino-jerez,guarderia,privado,"C/ Guindo, 6",11406,,jerez-de-la-frontera,Jerez de la Frontera,653949449,elpastorcitodivino@hotmail.com,,4,36,,,"Centro privado de educación infantil de primer ciclo en C/ Guindo, 6, 11406, Jerez de la Frontera: El Pastorcito Divino está adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. No se ha podido confirmar información adicional sobre servicios concretos.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
La Tortuga,la-tortuga-jerez,guarderia,privado,"Avda. de Las Delicias, 58, esquina C/ Galápago",11406,,jerez-de-la-frontera,Jerez de la Frontera,956391188,11007144.edu@juntadeandalucia.es,,4,36,,,"La Tortuga es un centro privado de educación infantil de primer ciclo en Avda. de Las Delicias, 58, esquina C/ Galápago, 11406, Jerez de la Frontera, adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. No consta información oficial adicional sobre servicios concretos en el momento de esta consulta.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Blanca Paloma,blanca-paloma-jerez,guarderia,privado,"Polígo San Telmo, s/n",11408,,jerez-de-la-frontera,Jerez de la Frontera,649868730,11008872.edu@juntadeandalucia.es,,4,36,,,"Centro privado de educación infantil de primer ciclo en Polígo San Telmo, s/n, 11408, Jerez de la Frontera: Blanca Paloma está adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. No se ha podido confirmar información adicional sobre servicios concretos.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Virgen del Valle,virgen-del-valle-jerez,escuela-infantil,publico,"Plaza Barahona, s/n. Bda. Federico Mayo",11408,,jerez-de-la-frontera,Jerez de la Frontera,856812821,11011263.edu@juntadeandalucia.es,,4,36,"Horario general de 7:30h a 17:00h, ininterrumpidamente, de lunes a viernes (excepto agosto), dividido en aula matinal (7:30-9:00), atención socioeducativa con comedor incluido (9:00-15:30) y aula de tarde (15:30-17:00), según la Consejería de Desarrollo Educativo y Formación Profesional de la Junta de Andalucía.",,"Virgen del Valle, en Plaza Barahona, s/n. Bda. Federico Mayo, 11408, es un centro público de primer ciclo de educación infantil perteneciente a la red de escuelas infantiles de la Junta de Andalucía en Jerez de la Frontera.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Santa María,santa-maria-jerez,escuela-infantil,publico,"Avda. de la Fuente, 1",11590,Mesas de Asta,jerez-de-la-frontera,Jerez de la Frontera,856811700,11011287.edu@juntadeandalucia.es,,4,36,"Horario general de 7:30h a 17:00h, ininterrumpidamente, de lunes a viernes (excepto agosto), dividido en aula matinal (7:30-9:00), atención socioeducativa con comedor incluido (9:00-15:30) y aula de tarde (15:30-17:00), según la Consejería de Desarrollo Educativo y Formación Profesional de la Junta de Andalucía.",,"Escuela infantil pública de la red de la Junta de Andalucía en Jerez de la Frontera, Santa María tiene su sede en Avda. de la Fuente, 1, 11590, Mesas de Asta y atiende el primer ciclo de educación infantil (0-3 años).",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
San Carlos,san-carlos-jerez,escuela-infantil,publico,"C/ Lealas, s/n",11404,,jerez-de-la-frontera,Jerez de la Frontera,856812822,11011330.edu@juntadeandalucia.es,,4,36,"Horario general de 7:30h a 17:00h, ininterrumpidamente, de lunes a viernes (excepto agosto), dividido en aula matinal (7:30-9:00), atención socioeducativa con comedor incluido (9:00-15:30) y aula de tarde (15:30-17:00), según la Consejería de Desarrollo Educativo y Formación Profesional de la Junta de Andalucía.",,"San Carlos es una escuela infantil de titularidad pública de la Junta de Andalucía, situada en C/ Lealas, s/n, 11404. Forma parte de la red autonómica de primer ciclo de educación infantil (0-3 años) de Jerez de la Frontera.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Rocinante,rocinante-jerez,escuela-infantil,publico,"C/ Amistad, s/n. Bda. San Telmo",11408,,jerez-de-la-frontera,Jerez de la Frontera,856812824,11011408.edu@juntadeandalucia.es,,4,36,"Horario general de 7:30h a 17:00h, ininterrumpidamente, de lunes a viernes (excepto agosto), dividido en aula matinal (7:30-9:00), atención socioeducativa con comedor incluido (9:00-15:30) y aula de tarde (15:30-17:00), según la Consejería de Desarrollo Educativo y Formación Profesional de la Junta de Andalucía.",,"Rocinante es una escuela infantil de titularidad pública de la Junta de Andalucía, situada en C/ Amistad, s/n. Bda. San Telmo, 11408. Forma parte de la red autonómica de primer ciclo de educación infantil (0-3 años) de Jerez de la Frontera.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
