name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
Escuela Infantil Municipal Pocahontas,escuela-infantil-municipal-pocahontas-las-palmas-de-gran-canaria,escuela-infantil,publico,"Calle Hoya del Enamorado, 9",35019,La Feria (Ciudad Alta),las-palmas-de-gran-canaria,Las Palmas de Gran Canaria,623392323,pocahontas@trasaservicios.es,,0,36,Horario base de 8:30 a 15:45 h (cierre a las 16:00 h). Acogida temprana desde las 7:30 h y horario ampliado hasta las 18:00 h para familias que lo justifiquen por motivos laborales. Curso de septiembre a julio.,"comedor;horario-ampliado","Escuela Infantil Municipal Pocahontas es una escuela infantil de titularidad municipal en Calle Hoya del Enamorado, 9, 35019, dentro del barrio de La Feria (Ciudad Alta), en Las Palmas de Gran Canaria. Atiende a niños de 0 a 3 años dentro de la red de Escuelas Infantiles Municipales gestionada por el Ayuntamiento a través de TRASA.",https://www.laspalmasgc.es/es/areas-tematicas/educacion/escuelas-infantiles-municipales/,
Escuela Infantil Municipal Heidi,escuela-infantil-municipal-heidi-las-palmas-de-gran-canaria,escuela-infantil,publico,Calle Agustina de Aragón esquina Pedro Infinito,35013,Schamann (Ciudad Alta),las-palmas-de-gran-canaria,Las Palmas de Gran Canaria,623224797,heidi@trasaservicios.es,,0,36,Horario base de 8:30 a 15:45 h (cierre a las 16:00 h). Acogida temprana desde las 7:30 h y horario ampliado hasta las 18:00 h para familias que lo justifiquen por motivos laborales. Curso de septiembre a julio.,"comedor;horario-ampliado","Situada en Calle Agustina de Aragón esquina Pedro Infinito, 35013 (Schamann (Ciudad Alta)), Escuela Infantil Municipal Heidi forma parte de la red de once escuelas infantiles municipales de Las Palmas de Gran Canaria, dirigida a niños de 0 a 3 años, con gestión del Ayuntamiento a través de TRASA.",https://www.laspalmasgc.es/es/areas-tematicas/educacion/escuelas-infantiles-municipales/,
Escuela Infantil Municipal La Sirenita,escuela-infantil-municipal-la-sirenita-las-palmas-de-gran-canaria,escuela-infantil,publico,"Calle Pintor José Jorge Oramas, 7",35012,Tamaraceite-San Lorenzo,las-palmas-de-gran-canaria,Las Palmas de Gran Canaria,633438208,lasirenita@trasaservicios.es,,0,36,Horario base de 8:30 a 15:45 h (cierre a las 16:00 h). Acogida temprana desde las 7:30 h y horario ampliado hasta las 18:00 h para familias que lo justifiquen por motivos laborales. Curso de septiembre a julio.,"comedor;horario-ampliado","Escuela Infantil Municipal La Sirenita, con sede en Calle Pintor José Jorge Oramas, 7, 35012, es una de las once escuelas infantiles municipales de Las Palmas de Gran Canaria, en el área de Tamaraceite-San Lorenzo, para niños de 0 a 3 años.",https://www.laspalmasgc.es/es/areas-tematicas/educacion/escuelas-infantiles-municipales/,
Escuela Infantil Municipal Pluto,escuela-infantil-municipal-pluto-las-palmas-de-gran-canaria,escuela-infantil,publico,Calle Diego Betancor Suárez,35016,Feria del Atlántico (Ciudad Alta),las-palmas-de-gran-canaria,Las Palmas de Gran Canaria,633438234,pluto@trasaservicios.es,,0,36,Horario base de 8:30 a 15:45 h (cierre a las 16:00 h). Acogida temprana desde las 7:30 h y horario ampliado hasta las 18:00 h para familias que lo justifiquen por motivos laborales. Curso de septiembre a julio.,"comedor;horario-ampliado","Escuela Infantil Municipal Pluto es una escuela infantil de titularidad municipal en Calle Diego Betancor Suárez, 35016, dentro del barrio de Feria del Atlántico (Ciudad Alta), en Las Palmas de Gran Canaria. Atiende a niños de 0 a 3 años dentro de la red de Escuelas Infantiles Municipales gestionada por el Ayuntamiento a través de TRASA.",https://www.laspalmasgc.es/es/areas-tematicas/educacion/escuelas-infantiles-municipales/,
Escuela Infantil Municipal Bambi,escuela-infantil-municipal-bambi-las-palmas-de-gran-canaria,escuela-infantil,publico,"Calle Licenciado Agustín Rodríguez, 3",35013,Cruz de Piedra (Centro),las-palmas-de-gran-canaria,Las Palmas de Gran Canaria,645296064,bambi@trasaservicios.es,,0,36,Horario base de 8:30 a 15:45 h (cierre a las 16:00 h). Acogida temprana desde las 7:30 h y horario ampliado hasta las 18:00 h para familias que lo justifiquen por motivos laborales. Curso de septiembre a julio.,"comedor;horario-ampliado","Situada en Calle Licenciado Agustín Rodríguez, 3, 35013 (Cruz de Piedra (Centro)), Escuela Infantil Municipal Bambi forma parte de la red de once escuelas infantiles municipales de Las Palmas de Gran Canaria, dirigida a niños de 0 a 3 años, con gestión del Ayuntamiento a través de TRASA.",https://www.laspalmasgc.es/es/areas-tematicas/educacion/escuelas-infantiles-municipales/,
Escuela Infantil Municipal Dumbo,escuela-infantil-municipal-dumbo-las-palmas-de-gran-canaria,escuela-infantil,publico,"Carretera Ciudad de San Juan de Dios, s/n",35019,El Lasso (Vegueta-Cono Sur-Tafira),las-palmas-de-gran-canaria,Las Palmas de Gran Canaria,623227017,dumbo@trasaservicios.es,,0,36,Horario base de 8:30 a 15:45 h (cierre a las 16:00 h). Acogida temprana desde las 7:30 h y horario ampliado hasta las 18:00 h para familias que lo justifiquen por motivos laborales. Curso de septiembre a julio.,"comedor;horario-ampliado","Escuela Infantil Municipal Dumbo, con sede en Carretera Ciudad de San Juan de Dios, s/n, 35019, es una de las once escuelas infantiles municipales de Las Palmas de Gran Canaria, en el área de El Lasso (Vegueta-Cono Sur-Tafira), para niños de 0 a 3 años.",https://www.laspalmasgc.es/es/areas-tematicas/educacion/escuelas-infantiles-municipales/,
Escuela Infantil Municipal La Carrucha,escuela-infantil-municipal-la-carrucha-las-palmas-de-gran-canaria,escuela-infantil,publico,"Calle Coronel Rocha, 45",35009,La Isleta (Puerto-Canteras),las-palmas-de-gran-canaria,Las Palmas de Gran Canaria,623222041,lacarrucha@trasaservicios.es,,0,36,Horario base de 8:30 a 15:45 h (cierre a las 16:00 h). Acogida temprana desde las 7:30 h y horario ampliado hasta las 18:00 h para familias que lo justifiquen por motivos laborales. Curso de septiembre a julio.,"comedor;horario-ampliado","Escuela Infantil Municipal La Carrucha es una escuela infantil de titularidad municipal en Calle Coronel Rocha, 45, 35009, dentro del barrio de La Isleta (Puerto-Canteras), en Las Palmas de Gran Canaria. Atiende a niños de 0 a 3 años dentro de la red de Escuelas Infantiles Municipales gestionada por el Ayuntamiento a través de TRASA.",https://www.laspalmasgc.es/es/areas-tematicas/educacion/escuelas-infantiles-municipales/,
Escuela Infantil Municipal Pinocho,escuela-infantil-municipal-pinocho-las-palmas-de-gran-canaria,escuela-infantil,publico,"Calle San Borondón, 15",35018,Tamaraceite-San Lorenzo,las-palmas-de-gran-canaria,Las Palmas de Gran Canaria,623222039,pinocho@trasaservicios.es,,0,36,Horario base de 8:30 a 15:45 h (cierre a las 16:00 h). Acogida temprana desde las 7:30 h y horario ampliado hasta las 18:00 h para familias que lo justifiquen por motivos laborales. Curso de septiembre a julio.,"comedor;horario-ampliado","Situada en Calle San Borondón, 15, 35018 (Tamaraceite-San Lorenzo), Escuela Infantil Municipal Pinocho forma parte de la red de once escuelas infantiles municipales de Las Palmas de Gran Canaria, dirigida a niños de 0 a 3 años, con gestión del Ayuntamiento a través de TRASA.",https://www.laspalmasgc.es/es/areas-tematicas/educacion/escuelas-infantiles-municipales/,
Escuela Infantil Municipal Blancanieves,escuela-infantil-municipal-blancanieves-las-palmas-de-gran-canaria,escuela-infantil,publico,"Calle Doctor Jiménez Neyra, 35",35012,Schamann (Ciudad Alta),las-palmas-de-gran-canaria,Las Palmas de Gran Canaria,623222084,blancanieves@trasaservicios.es,,0,36,Horario base de 8:30 a 15:45 h (cierre a las 16:00 h). Acogida temprana desde las 7:30 h y horario ampliado hasta las 18:00 h para familias que lo justifiquen por motivos laborales. Curso de septiembre a julio.,"comedor;horario-ampliado","Escuela Infantil Municipal Blancanieves, con sede en Calle Doctor Jiménez Neyra, 35, 35012, es una de las once escuelas infantiles municipales de Las Palmas de Gran Canaria, en el área de Schamann (Ciudad Alta), para niños de 0 a 3 años.",https://www.laspalmasgc.es/es/areas-tematicas/educacion/escuelas-infantiles-municipales/,
Escuela Infantil Municipal Princesa Tenesoya,escuela-infantil-municipal-princesa-tenesoya-las-palmas-de-gran-canaria,escuela-infantil,publico,"Calle Debussy, s/n",35016,Pedro Hidalgo (Vegueta-Cono Sur-Tafira),las-palmas-de-gran-canaria,Las Palmas de Gran Canaria,623222046,princesatenesoya@trasaservicios.es,,0,36,Horario base de 8:30 a 15:45 h (cierre a las 16:00 h). Acogida temprana desde las 7:30 h y horario ampliado hasta las 18:00 h para familias que lo justifiquen por motivos laborales. Curso de septiembre a julio.,"comedor;horario-ampliado","Escuela Infantil Municipal Princesa Tenesoya es una escuela infantil de titularidad municipal en Calle Debussy, s/n, 35016, dentro del barrio de Pedro Hidalgo (Vegueta-Cono Sur-Tafira), en Las Palmas de Gran Canaria. Atiende a niños de 0 a 3 años dentro de la red de Escuelas Infantiles Municipales gestionada por el Ayuntamiento a través de TRASA.",https://www.laspalmasgc.es/es/areas-tematicas/educacion/escuelas-infantiles-municipales/,
