name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
EIPA ESCUELA INFANTIL PARQUE DE LAS AVENIDAS,eipa-escuela-infantil-parque-de-las-avenidas-madrid,escuela-infantil,privado,"de Brístol, 1",28028,Salamanca,madrid,Madrid,911167470,direccion@eipaeducacion.com,,4,36,,aula-0-1-anos|aula-1-2-anos|aula-2-3-anos,"Escuela infantil privada en el distrito de Salamanca, Madrid. Centro de primer ciclo de educación infantil para niños de 0 a 3 años.",https://datos.comunidad.madrid/catalogo/dataset/centros_educativos,Datos CAM 2026. Verificación pendiente.
NUESTRA SEÑORA DE LOS DOLORES,nuestra-senora-de-los-dolores-madrid,escuela-infantil,concertado,"de San Bernardo, 99",28015,Chamberí,madrid,Madrid,914483426,cc.nsdelosdolores.madrid@educa.madrid.org,,4,36,,aula-0-1-anos|aula-1-2-anos|aula-2-3-anos,"Escuela infantil concertada en el distrito de Chamberí, Madrid. Centro de primer ciclo de educación infantil para niños de 0 a 3 años.",https://datos.comunidad.madrid/catalogo/dataset/centros_educativos,Datos CAM 2026. Verificación pendiente.
NUESTRA SEÑORA DE LA PAZ,nuestra-senora-de-la-paz-madrid,escuela-infantil,concertado,"de Valderribas, 37",28007,Retiro,madrid,Madrid,915528595,cc.nsdelapaz.madrid@educa.madrid.org,https://colegionsdelapaz.es/,4,36,,aula-0-1-anos|aula-1-2-anos|aula-2-3-anos,"Escuela infantil concertada en el distrito de Retiro, Madrid. Centro de primer ciclo de educación infantil para niños de 0 a 3 años.",https://datos.comunidad.madrid/catalogo/dataset/centros_educativos,Datos CAM 2026. Verificación pendiente.
EL OSITO DE LUIS DE LARRAINZA,el-osito-de-luis-de-larrainza-madrid,escuela-infantil,privado,"de Luis Larrainza, 46",28002,Chamartín,madrid,Madrid,912194455,info@escuelainfantilelosito.com,www.escuelainfantilelosito.com,4,36,,aula-0-1-anos|aula-1-2-anos|aula-2-3-anos,"Escuela infantil privada en el distrito de Chamartín, Madrid. Centro de primer ciclo de educación infantil para niños de 0 a 3 años.",https://datos.comunidad.madrid/catalogo/dataset/centros_educativos,Datos CAM 2026. Verificación pendiente.
REINA DE LOS ANGELES,reina-de-los-angeles-madrid,guarderia,privado,"del Darro, 30",28002,Chamartín,madrid,Madrid,915638760,info@reinadelosangeles.es,,4,36,,aula-0-1-anos|aula-1-2-anos|aula-2-3-anos,"Guardería privada en el distrito de Chamartín, Madrid. Centro de educación infantil de primer ciclo (0-3 años).",https://datos.comunidad.madrid/catalogo/dataset/centros_educativos,Datos CAM 2026. Verificación pendiente.
SAN JOSE DE CLUNY,san-jose-de-cluny-madrid,guarderia,concertado,"de San Restituto, 24",28039,Moncloa-Aravaca,madrid,Madrid,914597103,cc.sanjosedecluny.madrid@educa.madrid.org,www.clunyvillaamil.es,4,36,,aula-0-1-anos|aula-1-2-anos|aula-2-3-anos,"Guardería concertada en el distrito de Moncloa-Aravaca, Madrid. Centro de educación infantil de primer ciclo (0-3 años).",https://datos.comunidad.madrid/catalogo/dataset/centros_educativos,Datos CAM 2026. Verificación pendiente.
AFUERA III A,afuera-iii-a-madrid,escuela-infantil,privado,"de Francisco Vitoria, 16",28007,Retiro,madrid,Madrid,915516439,secretaria@colegioafuera.es,http://www.colegioafuera.es,4,36,,aula-0-1-anos|aula-1-2-anos|aula-2-3-anos,"Escuela infantil privada en el distrito de Retiro, Madrid. Centro de primer ciclo de educación infantil para niños de 0 a 3 años.",https://datos.comunidad.madrid/catalogo/dataset/centros_educativos,Datos CAM 2026. Verificación pendiente.
ARCANGEL,arcangel-madrid,escuela-infantil,concertado,"de Ángel Ganivet, 21",28007,Retiro,madrid,Madrid,915523525,cc.arcangel.madrid@educa.madrid.org,http://www.colegioconcertadoarcangel.com,4,36,,aula-0-1-anos|aula-1-2-anos|aula-2-3-anos,"Escuela infantil concertada en el distrito de Retiro, Madrid. Centro de primer ciclo de educación infantil para niños de 0 a 3 años.",https://datos.comunidad.madrid/catalogo/dataset/centros_educativos,Datos CAM 2026. Verificación pendiente.
TRILEMA SAFA,trilema-safa-madrid,escuela-infantil,concertado,"de Mercedes Fórmica, 32",28028,Salamanca,madrid,Madrid,915733154,cc.sagradafamilia-salamanca.madrid@educa.madrid.org,http://www.colegio-sagradafamilia.es,4,36,,aula-0-1-anos|aula-1-2-anos|aula-2-3-anos,"Escuela infantil concertada en el distrito de Salamanca, Madrid. Centro de primer ciclo de educación infantil para niños de 0 a 3 años.",https://datos.comunidad.madrid/catalogo/dataset/centros_educativos,Datos CAM 2026. Verificación pendiente.
SAN PATRICIO,san-patricio-madrid,escuela-infantil,privado,"de Serrano, 198",28002,Chamartín,madrid,Madrid,915638420,infoserrano@colegiosanpatricio.es,,4,36,,aula-0-1-anos|aula-1-2-anos|aula-2-3-anos,"Escuela infantil privada en el distrito de Chamartín, Madrid. Centro de primer ciclo de educación infantil para niños de 0 a 3 años.",https://datos.comunidad.madrid/catalogo/dataset/centros_educativos,Datos CAM 2026. Verificación pendiente.
