name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
San Vicente de Paúl,san-vicente-de-paul-malaga,guarderia,privado,"C/ Río Gévora, 6",29002,,malaga,Málaga,952311078,direccion.sanvicente@fundacionvictoria.edu.es,,4,36,,,"San Vicente de Paúl es un centro privado de educación infantil de primer ciclo en C/ Río Gévora, 6, 29002 (Málaga), adherido al Programa de Ayuda a las Familias de la Junta de Andalucía según el registro oficial. No hay servicios adicionales confirmados en fuente oficial; se recomienda consultarlos directamente con el centro.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
San Pablo,san-pablo-malaga,guarderia,privado,"C/ Pizarro, 9. Bda. de la Trinidad",29009,,malaga,Málaga,952282894,direccion.sanpablo@fundacionvictoria.edu.es,,4,36,,,"Centro de educación infantil de primer ciclo situado en C/ Pizarro, 9. Bda. de la Trinidad, 29009, Málaga: San Pablo, adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. No consta información oficial adicional sobre servicios concretos en el momento de esta consulta.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Mamá Oca,mama-oca-malaga,guarderia,privado,"Avda. Pepita Durán, 5",29010,,malaga,Málaga,952618934,mamaocauno@gmail.com,,4,36,,,"Centro de educación infantil de primer ciclo situado en Avda. Pepita Durán, 5, 29010, Málaga: Mamá Oca, adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. No consta información oficial adicional sobre servicios concretos en el momento de esta consulta.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Los Picapiedras,los-picapiedras-malaga,guarderia,privado,"C/ Conjunto Villa María, 3-4",29010,,malaga,Málaga,952390000,aar_ana@hotmail.com,,4,36,,,"Centro de educación infantil de primer ciclo situado en C/ Conjunto Villa María, 3-4, 29010, Málaga: Los Picapiedras, adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. No consta información oficial adicional sobre servicios concretos en el momento de esta consulta.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Ábaco,abaco-malaga,guarderia,privado,"C/ Antonio Jiménez Ruiz, 32",29009,,malaga,Málaga,952300054,escuelainfantilabc@gmail.com,,4,36,,,"Localizado en C/ Antonio Jiménez Ruiz, 32, 29009, Málaga, Ábaco es un centro privado incluido en el registro de centros de primer ciclo de educación infantil de la Junta de Andalucía, adherido al Programa de Ayuda a las Familias. No hay constancia oficial de servicios adicionales.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
San Juan de Ávila,san-juan-de-avila-malaga,guarderia,privado,"C/ Bartolomé Pancorbo, 5",29003,,malaga,Málaga,952339195,eisanjuandeavila@gmail.com,,4,36,,,"San Juan de Ávila es un centro privado de educación infantil de primer ciclo en C/ Bartolomé Pancorbo, 5, 29003 (Málaga), adherido al Programa de Ayuda a las Familias de la Junta de Andalucía según el registro oficial. No hay servicios adicionales confirmados en fuente oficial; se recomienda consultarlos directamente con el centro.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Sierra Blanca,sierra-blanca-malaga,guarderia,privado,"C/ Francisco Barbín, 22",29010,,malaga,Málaga,952070650,secretaria.sierrablanca@sierrablanca-elromeral.com,,4,36,,,"Sierra Blanca atiende el primer ciclo de educación infantil (0-3 años) en C/ Francisco Barbín, 22, 29010, Málaga. Es un centro no adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. Los servicios específicos del centro no están confirmados en fuente oficial; conviene solicitarlos directamente.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
El Divino Pastor,el-divino-pastor-malaga,guarderia,privado,"C/ Gaucín, s/n",29003,,malaga,Málaga,952324000,colegio@eldivinopastor.com,,4,36,,,"En C/ Gaucín, s/n, 29003, Málaga, El Divino Pastor es un centro privado de primer ciclo de educación infantil (0-3 años), no adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. Sus servicios concretos no están recogidos en la fuente oficial consultada.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
La Casita Mágica,la-casita-magica-malaga,guarderia,privado,"C/ Josefa de los Ríos, 3",29010,,malaga,Málaga,952611646,info@lacasitamagica.com,,4,36,,,"La Casita Mágica, con sede en C/ Josefa de los Ríos, 3, 29010 (Málaga), figura en el listado de centros de primer ciclo de educación infantil de la Junta de Andalucía, adherido al Programa de Ayuda a las Familias. Recomendamos confirmar servicios y horario directamente con el centro.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Pipiolines,pipiolines-malaga,guarderia,privado,"Plaza Alcalde Enrique Gómez Rodríguez, local 2-P",29006,,malaga,Málaga,952324059,pipiolines@yahoo.es,https://www.centrospipiolines.com/,4,36,,"escuela-de-padres;verano-campamentos","En Plaza Alcalde Enrique Gómez Rodríguez, local 2-P, 29006, Málaga, Pipiolines atiende a niños de 0 a 3 años dentro del primer ciclo de educación infantil. Su web oficial confirma servicios de escuela de padres y madres, campamentos de verano.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Nuevo Kindergarten,nuevo-kindergarten-malaga,guarderia,privado,"C/ Villafuerte, 51",29017,,malaga,Málaga,669291351,escuelakindergarten51@gmail.com,,4,36,,,"Localizado en C/ Villafuerte, 51, 29017, Málaga, Nuevo Kindergarten es un centro privado incluido en el registro de centros de primer ciclo de educación infantil de la Junta de Andalucía, adherido al Programa de Ayuda a las Familias. No hay constancia oficial de servicios adicionales.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Aula Futura,aula-futura-malaga,guarderia,privado,"Avda. Los Pascueros, 1",29013,,malaga,Málaga,952652346,direccion@escuelaaulafutura.com,,4,36,,,"Localizado en Avda. Los Pascueros, 1, 29013, Málaga, Aula Futura es un centro privado incluido en el registro de centros de primer ciclo de educación infantil de la Junta de Andalucía, adherido al Programa de Ayuda a las Familias. No hay constancia oficial de servicios adicionales.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Los 7 Enanitos,los-7-enanitos-malaga,guarderia,privado,"Avda. Jenofonte, 1. Urbanización El Consul",29010,,malaga,Málaga,640825148,ceiohanasc@gmail.com,,4,36,,,"Localizado en Avda. Jenofonte, 1. Urbanización El Consul, 29010, Málaga, Los 7 Enanitos es un centro privado incluido en el registro de centros de primer ciclo de educación infantil de la Junta de Andalucía, adherido al Programa de Ayuda a las Familias. No hay constancia oficial de servicios adicionales.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Brinca 2,brinca-2-malaga,guarderia,privado,"Avda. Carlos Haya, 104",29010,,malaga,Málaga,952305970,brinca22@hotmail.com,,4,36,,,"Localizado en Avda. Carlos Haya, 104, 29010, Málaga, Brinca 2 es un centro privado incluido en el registro de centros de primer ciclo de educación infantil de la Junta de Andalucía, adherido al Programa de Ayuda a las Familias. No hay constancia oficial de servicios adicionales.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Virgen Milagrosa,virgen-milagrosa-malaga,guarderia,privado,"Plaza Virgen Milagrosa, 11",29017,,malaga,Málaga,952292044,givmilagrosa@gmail.com,,4,36,,,"En Plaza Virgen Milagrosa, 11, 29017, Málaga, Virgen Milagrosa es un centro privado de primer ciclo de educación infantil (0-3 años), adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. Sus servicios concretos no están recogidos en la fuente oficial consultada.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Pipiolines III,pipiolines-iii-malaga,guarderia,privado,"C/ Eguluz, 30",29006,,malaga,Málaga,952328998,pipiolines@yahoo.es,https://www.centrospipiolines.com/,4,36,,"escuela-de-padres;verano-campamentos","Con sede en C/ Eguluz, 30, 29006, Málaga, Pipiolines III es un centro privado de primer ciclo de educación infantil que confirma en su web oficial servicios como escuela de padres y madres, campamentos de verano.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Pipiolines IV,pipiolines-iv-malaga,guarderia,privado,"C/ Eguluz, 32",29006,,malaga,Málaga,952328998,pipiolines@yahoo.es,https://www.centrospipiolines.com/,4,36,,"escuela-de-padres;verano-campamentos","Con sede en C/ Eguluz, 32, 29006, Málaga, Pipiolines IV es un centro privado de primer ciclo de educación infantil que confirma en su web oficial servicios como escuela de padres y madres, campamentos de verano.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Brunet,brunet-malaga,guarderia,privado,"C/ Camino del Pilar, 72",29140,,malaga,Málaga,952622617,info@ceibrunet.com,,4,36,,,"Centro de educación infantil de primer ciclo situado en C/ Camino del Pilar, 72, 29140, Málaga: Brunet, adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. No consta información oficial adicional sobre servicios concretos en el momento de esta consulta.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Donnegal,donnegal-malaga,guarderia,privado,"C/ Emilio Díaz, 45",29014,,malaga,Málaga,952250102,saray117@hotmail.com,,4,36,,,"Donnegal atiende el primer ciclo de educación infantil (0-3 años) en C/ Emilio Díaz, 45, 29014, Málaga. Es un centro adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. Los servicios específicos del centro no están confirmados en fuente oficial; conviene solicitarlos directamente.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Las Palmeras,las-palmeras-malaga,guarderia,privado,"C/ Emilio Díaz, 57",29014,,malaga,Málaga,619513181,mc60.universo.155@gmail.com,,4,36,,,"En C/ Emilio Díaz, 57, 29014, Málaga, Las Palmeras es un centro privado de primer ciclo de educación infantil (0-3 años), adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. Sus servicios concretos no están recogidos en la fuente oficial consultada.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Montessori Puerto,montessori-puerto-malaga,guarderia,privado,"Avda. Manuel Rodríguez, 27",29190,,malaga,Málaga,952432141,montessoripuerto@gmail.com,,4,36,,,"Centro de educación infantil de primer ciclo situado en Avda. Manuel Rodríguez, 27, 29190, Málaga: Montessori Puerto, adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. No consta información oficial adicional sobre servicios concretos en el momento de esta consulta.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
La Casita Mágica II,la-casita-magica-ii-malaga,guarderia,privado,"C/ María de la Cruz, 1",29010,,malaga,Málaga,952615076,info@lacasitamagica.com,,4,36,,,"La Casita Mágica II es un centro privado de educación infantil de primer ciclo en C/ María de la Cruz, 1, 29010 (Málaga), adherido al Programa de Ayuda a las Familias de la Junta de Andalucía según el registro oficial. No hay servicios adicionales confirmados en fuente oficial; se recomienda consultarlos directamente con el centro.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Maitena II,maitena-ii-malaga,guarderia,privado,"C/ Navas de Tolosa, 10, bajo 3-4",29016,,malaga,Málaga,952224091,administracion@grupomaitena.com,,4,36,,,"En C/ Navas de Tolosa, 10, bajo 3-4, 29016, Málaga, Maitena II es un centro privado de primer ciclo de educación infantil (0-3 años), adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. Sus servicios concretos no están recogidos en la fuente oficial consultada.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
