name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
Bambi,bambi-murcia,guarderia,privado,"Calle La Seda, Nº 1 - Edif. Madrid",30009,,murcia,Murcia,968292806,belen70mz@gmail.com,,0,36,,,"Bambi aparece registrada en el mapa escolar de la Región de Murcia como centro privado de educación infantil, con dirección en Calle La Seda, Nº 1 - Edif. Madrid, 30009, en Murcia. Atiende a niños de 0 a 3 años. Para conocer horarios, servicios y disponibilidad de plazas, lo recomendable es ponerse en contacto con el centro.",https://mapaescolar.murciaeduca.es/mapaescolar-api/api/centros,
"Futurines, S.l.l.",futurines-s-l-l-murcia,guarderia,privado,"Avenida Joven Futura, 29, Bajo (Espinardo)",30100,,murcia,Murcia,637314864,newfuturines1@gmail.com,,0,36,,,"Con dirección en Avenida Joven Futura, 29, Bajo (Espinardo), 30100, en Murcia, Futurines, S.l.l. es una guardería de titularidad privada que atiende el primer ciclo de educación infantil (0-3 años). El mapa escolar de la Consejería de Educación no detalla servicios adicionales, por lo que recomendamos confirmarlos directamente con el centro.",https://mapaescolar.murciaeduca.es/mapaescolar-api/api/centros,
Virgen de la Fuensanta,virgen-de-la-fuensanta-murcia,guarderia,privado,"Paseo de las Moreras, s/n (Espinardo)",30100,,murcia,Murcia,968846074,,,0,36,,,"Virgen de la Fuensanta es una guardería privada situada en Paseo de las Moreras, s/n (Espinardo), 30100, en Murcia, dedicada a niños de 0 a 3 años según consta en el mapa escolar de la Región de Murcia. Esta ficha se limita a los datos confirmados en la fuente oficial; para conocer el resto de detalles, recomendamos contactar con el centro.",https://mapaescolar.murciaeduca.es/mapaescolar-api/api/centros,
Ntra. Sra. de la Fuensanta,ntra-sra-de-la-fuensanta-murcia,escuela-infantil,publico,"Calle Renacimiento, s/n",30012,,murcia,Murcia,968254230,30000717@murciaeduca.es,,4,36,"Lunes a viernes de 8:15 a 16:00 h, con servicio de matinal desde las 7:30 h",comedor;servicio-madrugadores,"Ntra. Sra. de la Fuensanta, en Calle Renacimiento, s/n, 30012, es una escuela infantil de titularidad pública dependiente del Ayuntamiento de Murcia. Como el resto de la red municipal, atiende a niños de 0 a 3 años y dispone de comedor y matinal. Recomendamos consultar el calendario de preinscripción municipal para conocer plazas disponibles.",https://mapaescolar.murciaeduca.es/mapaescolar-api/api/centros,
Los Molinos,los-molinos-murcia,guarderia,privado,"Calle Jumilla, 11",30002,,murcia,Murcia,968221411,escuelainfantillosmolinos@gmail.com,https://www.escuelainfantil-losmolinos.com/,0,36,Horario ampliado de 7:30 a 17:00 h,comedor;cocina-propia;horario-ampliado;patio-exterior;psicomotricidad;actividades-extraescolares,"Los Molinos, en Calle Jumilla, 11, 30002, en Murcia, es un centro privado de primer ciclo de educación infantil. Su web oficial confirma cocina propia, dos patios de juego y psicomotricidad. Antes de solicitar plaza, conviene confirmar horarios y disponibilidad directamente con el centro.",https://mapaescolar.murciaeduca.es/mapaescolar-api/api/centros,
Pequeñas Sonrisas,pequenas-sonrisas-murcia,guarderia,privado,"Calle Reyes Catolicos, 26 - Bº El Ranero",30100,,murcia,Murcia,968299556,eipequesonrisas@hotmail.com,,0,36,,,"Pequeñas Sonrisas aparece registrada en el mapa escolar de la Región de Murcia como centro privado de educación infantil, con dirección en Calle Reyes Catolicos, 26 - Bº El Ranero, 30100, en Murcia. Atiende a niños de 0 a 3 años. Para conocer horarios, servicios y disponibilidad de plazas, lo recomendable es ponerse en contacto con el centro.",https://mapaescolar.murciaeduca.es/mapaescolar-api/api/centros,
Educa,educa-murcia,guarderia,privado,Calle Enrique Tierno Galván (Espinardo),30100,,murcia,Murcia,616531437,espinardoeduca3@hotmail.com,,0,36,,,"Educa aparece registrada en el mapa escolar de la Región de Murcia como centro privado de educación infantil, con dirección en Calle Enrique Tierno Galván (Espinardo), 30100, en Murcia. Atiende a niños de 0 a 3 años. Para conocer horarios, servicios y disponibilidad de plazas, lo recomendable es ponerse en contacto con el centro.",https://mapaescolar.murciaeduca.es/mapaescolar-api/api/centros,
Abenarabi,abenarabi-murcia,guarderia,privado,"Calle Abenarabí, Edf. Granada Nº 7 Bajo",30007,,murcia,Murcia,607666610,escuelainfantilabenarabi@gmail.com,,0,36,,,"Abenarabi aparece registrada en el mapa escolar de la Región de Murcia como centro privado de educación infantil, con dirección en Calle Abenarabí, Edf. Granada Nº 7 Bajo, 30007, en Murcia. Atiende a niños de 0 a 3 años. Para conocer horarios, servicios y disponibilidad de plazas, lo recomendable es ponerse en contacto con el centro.",https://mapaescolar.murciaeduca.es/mapaescolar-api/api/centros,
Nico,nico-murcia,guarderia,privado,"Avenida Antonete Gálvez, 7",30006,,murcia,Murcia,968203048,centroinfantilnico@gmail.com,,0,36,,,"En Avenida Antonete Gálvez, 7, 30006, en Murcia se ubica Nico, una guardería privada de primer ciclo de educación infantil según el mapa escolar oficial de la Región de Murcia. No constan en la fuente consultada datos sobre comedor, horario ampliado o idiomas, por lo que conviene preguntar directamente al centro.",https://mapaescolar.murciaeduca.es/mapaescolar-api/api/centros,
El Chupete,el-chupete-murcia,guarderia,privado,"Calle Mayor, 26 - Barrio del Progreso",30012,,murcia,Murcia,699125022,alvaroyyoli@hotmail.com,,0,36,,,"Localizada en Calle Mayor, 26 - Barrio del Progreso, 30012, en Murcia, El Chupete es un centro privado de educación infantil de primer ciclo, incluido en el mapa escolar de la Región de Murcia. No hay constancia oficial de servicios adicionales como comedor o idiomas, así que recomendamos confirmarlos directamente con el centro antes de solicitar información.",https://mapaescolar.murciaeduca.es/mapaescolar-api/api/centros,
