name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
Angelets de Llum,angelets-de-llum-palma,guarderia,privado,"Carrer JORGE SEPULVEDA, 5",07010,,palma,Palma,971202523,ceiangeletsdellum@gmail.com,https://www.angeletsdellum.com,0,36,,comedor;verano-campamentos,"Angelets de Llum, en Carrer JORGE SEPULVEDA, 5, 07010, en Palma, es un centro privado de educación infantil de primer ciclo (0-3 años). Su propia web confirma comedor y campamentos de verano. Antes de solicitar plaza, recomendamos contactar con el centro para conocer disponibilidad y condiciones actuales.",https://www3.caib.es/xestibback/external/llistes/llistaCentresDirectori.json,
Asima,asima-palma,guarderia,privado,"Carrer GREMI DE BOTERS, 21",07009,,palma,Palma,971433493,escoleta@asima.com,,0,36,,,"Asima aparece en el directorio oficial de centros educativos del Govern de les Illes Balears como centro privado de educación infantil, con dirección en Carrer GREMI DE BOTERS, 21, 07009, en Palma. Atiende a niños de 0 a 3 años. Para conocer horarios, servicios y disponibilidad de plazas, lo recomendable es ponerse en contacto con el centro.",https://www3.caib.es/xestibback/external/llistes/llistaCentresDirectori.json,
Atlas Escoleta,atlas-escoleta-palma,guarderia,privado,"Carrer ANDREU TORRENS, 5",07011,,palma,Palma,653386808,atlasescoleta@hotmail.com,,0,36,,,"Con dirección en Carrer ANDREU TORRENS, 5, 07011, en Palma, Atlas Escoleta es un centro privado de educación infantil de primer ciclo, según consta en el directorio oficial de centros del Govern de les Illes Balears. El directorio no detalla servicios adicionales, por lo que recomendamos confirmarlos directamente con el centro.",https://www3.caib.es/xestibback/external/llistes/llistaCentresDirectori.json,
Baberitos,baberitos-palma,guarderia,privado,"Carrer GUASP, 72",07007,Es Coll d'en Rabassa,palma,Palma,620222098,infocei@escoletababeritos.es,,0,36,,,"Baberitos es un centro privado de primer ciclo de educación infantil (0-3 años) ubicado en Carrer GUASP, 72, 07007, en Es Coll d'en Rabassa, dentro del término municipal de Palma. No constan en la fuente oficial consultada datos sobre comedor, horario ampliado o idiomas, por lo que conviene preguntar directamente al centro.",https://www3.caib.es/xestibback/external/llistes/llistaCentresDirectori.json,
Baberitos Tenis,baberitos-tenis-palma,guarderia,privado,"Carrer CAN BARO, 9",07014,,palma,Palma,620222098,infocei@escoletababeritos.es,,0,36,,,"Localizado en Carrer CAN BARO, 9, 07014, en Palma, Baberitos Tenis está inscrito como centro privado de educación infantil en el directorio del Govern de les Illes Balears. No hay constancia oficial de servicios adicionales como comedor o idiomas; recomendamos confirmarlos antes de solicitar información.",https://www3.caib.es/xestibback/external/llistes/llistaCentresDirectori.json,
Can Alonso,can-alonso-palma,escuela-infantil,publico,"Carrer de l'Arxiduc Lluís Salvador, 83",07004,,palma,Palma,971751975,eicanalonso@pmei.palma.cat,,0,36,"Horario general de 8:30 a 15:00 h (con entrada progresiva hasta las 9:30 h), que incluye comedor. Servicio de acogida matinal de 7:30 a 8:30 h y servicio de tarde de 15:00 a 16:00 h, ambos de solicitud previa.",comedor;servicio-madrugadores,"Can Alonso es una de las escuelas infantiles municipales que gestiona el Patronat Municipal d'Escoles d'Infants del Ayuntamiento de Palma, con sede en Carrer de l'Arxiduc Lluís Salvador, 83, 07004, en Palma. Atiende el primer ciclo de educación infantil y ofrece servicio de comedor dentro del horario general. Recomendamos consultar los plazos de preinscripción municipal para conocer la disponibilidad de plazas.",https://www3.caib.es/xestibback/external/llistes/llistaCentresDirectori.json,
Ca Nostra,ca-nostra-palma,guarderia,privado,"Carrer COTLLIURE, 44",07010,,palma,Palma,615240411,e-canostra@telefonica.net,,0,36,,,"El directorio de centros educativos de les Illes Balears recoge a Ca Nostra, centro privado de primer ciclo de educación infantil, con sede en Carrer COTLLIURE, 44, 07010, en Palma. Atiende a niños de 0 a 3 años; para conocer plazas y condiciones, lo mejor es contactar directamente con el centro.",https://www3.caib.es/xestibback/external/llistes/llistaCentresDirectori.json,
Castell Encantat,castell-encantat-palma,guarderia,privado,"Carrer JERONI POU, 24",07006,,palma,Palma,971914445,ceicastellencantat@gmail.com,,0,36,,,"Castell Encantat, en Carrer JERONI POU, 24, 07006, en Palma, figura como centro privado de educación infantil de primer ciclo en el directorio oficial del Govern de les Illes Balears. Esta ficha se limita a los datos confirmados en la fuente oficial; para el resto de detalles, recomendamos contactar con el centro.",https://www3.caib.es/xestibback/external/llistes/llistaCentresDirectori.json,
Ciutat Antiga,ciutat-antiga-palma,escuela-infantil,publico,"Carrer JAUME LLUIS GARAU, 4",07002,,palma,Palma,971711450,eiciutatantiga@pmei.palma.cat,,0,36,"Horario general de 8:30 a 15:00 h (con entrada progresiva hasta las 9:30 h), que incluye comedor. Servicio de acogida matinal de 7:30 a 8:30 h y servicio de tarde de 15:00 a 16:00 h, ambos de solicitud previa.",comedor;servicio-madrugadores,"Ubicada en Carrer JAUME LLUIS GARAU, 4, 07002, en Palma, Ciutat Antiga forma parte de la red de escuelas infantiles municipales de Palma, gestionadas por el Patronat Municipal d'Escoles d'Infants. Es un centro de titularidad pública para niños de 0 a 3 años, con comedor incluido en su horario habitual.",https://www3.caib.es/xestibback/external/llistes/llistaCentresDirectori.json,
"Dues Llunes, Escola d'Infants",dues-llunes-escola-dinfants-palma,guarderia,privado,"Avinguda PICASSO, 59",07014,,palma,Palma,971455927,escoletaduesllunes@gmail.com,,0,36,,,"Dues Llunes, Escola d'Infants aparece en el directorio oficial de centros educativos del Govern de les Illes Balears como centro privado de educación infantil, con dirección en Avinguda PICASSO, 59, 07014, en Palma. Atiende a niños de 0 a 3 años. Para conocer horarios, servicios y disponibilidad de plazas, lo recomendable es ponerse en contacto con el centro.",https://www3.caib.es/xestibback/external/llistes/llistaCentresDirectori.json,
Dulces Sueños,dulces-suenos-palma,guarderia,privado,"Carrer LLUIS ALEMANY I PUJOL, 8",07010,,palma,Palma,,escoletadulces@gmail.com,,0,36,,,"Con dirección en Carrer LLUIS ALEMANY I PUJOL, 8, 07010, en Palma, Dulces Sueños es un centro privado de educación infantil de primer ciclo, según consta en el directorio oficial de centros del Govern de les Illes Balears. El directorio no detalla servicios adicionales, por lo que recomendamos confirmarlos directamente con el centro.",https://www3.caib.es/xestibback/external/llistes/llistaCentresDirectori.json,
Dulces Sueños Ciudad Jardín,dulces-suenos-ciudad-jardin-palma,guarderia,privado,"Carrer TRAFALGAR, 23",07007,Ciutat Jardí,palma,Palma,,escoletadulces@gmail.com,,0,36,,,"Dulces Sueños Ciudad Jardín es un centro privado de primer ciclo de educación infantil (0-3 años) ubicado en Carrer TRAFALGAR, 23, 07007, en Ciutat Jardí, dentro del término municipal de Palma. No constan en la fuente oficial consultada datos sobre comedor, horario ampliado o idiomas, por lo que conviene preguntar directamente al centro.",https://www3.caib.es/xestibback/external/llistes/llistaCentresDirectori.json,
Escola Nova,escola-nova-palma,guarderia,privado,"Carrer de Pablo Iglesias, 76",07004,,palma,Palma,971293373,escoletanova@hotmail.com,,0,36,,,"Localizado en Carrer de Pablo Iglesias, 76, 07004, en Palma, Escola Nova está inscrito como centro privado de educación infantil en el directorio del Govern de les Illes Balears. No hay constancia oficial de servicios adicionales como comedor o idiomas; recomendamos confirmarlos antes de solicitar información.",https://www3.caib.es/xestibback/external/llistes/llistaCentresDirectori.json,
Escoleta Infantil Gran Món,escoleta-infantil-gran-mon-palma,guarderia,privado,"Carrer JOSEP D'OLEZA, 5",07010,,palma,Palma,695215670,escoletagranmon@gmail.com,,0,36,,,"El directorio de centros educativos de les Illes Balears recoge a Escoleta Infantil Gran Món, centro privado de primer ciclo de educación infantil, con sede en Carrer JOSEP D'OLEZA, 5, 07010, en Palma. Atiende a niños de 0 a 3 años; para conocer plazas y condiciones, lo mejor es contactar directamente con el centro.",https://www3.caib.es/xestibback/external/llistes/llistaCentresDirectori.json,
Escoleta Luis Vives,escoleta-luis-vives-palma,guarderia,privado,"Carrer de Can Domenge, 3",07003,,palma,Palma,971290150,escoletaluisvives@educazenit.es,,0,36,,,"Escoleta Luis Vives, en Carrer de Can Domenge, 3, 07003, en Palma, figura como centro privado de educación infantil de primer ciclo en el directorio oficial del Govern de les Illes Balears. Esta ficha se limita a los datos confirmados en la fuente oficial; para el resto de detalles, recomendamos contactar con el centro.",https://www3.caib.es/xestibback/external/llistes/llistaCentresDirectori.json,
Escoleta Pequeño Da Vinci,escoleta-pequeno-da-vinci-palma,guarderia,privado,"Carrer Maria Agnesi, Parcel·la 53-55 (Parc BIT)",07121,,palma,Palma,,info@escoletamariaserra.es,,0,36,,,"Escoleta Pequeño Da Vinci aparece en el directorio oficial de centros educativos del Govern de les Illes Balears como centro privado de educación infantil, con dirección en Carrer Maria Agnesi, Parcel·la 53-55 (Parc BIT), 07121, en Palma. Atiende a niños de 0 a 3 años. Para conocer horarios, servicios y disponibilidad de plazas, lo recomendable es ponerse en contacto con el centro.",https://www3.caib.es/xestibback/external/llistes/llistaCentresDirectori.json,
Escoleta Pessigolles,escoleta-pessigolles-palma,guarderia,privado,"Carrer GUILLEM MASSOT, 50",07003,,palma,Palma,601052362,escoletapessigolles@gmail.com,,0,36,,,"Con dirección en Carrer GUILLEM MASSOT, 50, 07003, en Palma, Escoleta Pessigolles es un centro privado de educación infantil de primer ciclo, según consta en el directorio oficial de centros del Govern de les Illes Balears. El directorio no detalla servicios adicionales, por lo que recomendamos confirmarlos directamente con el centro.",https://www3.caib.es/xestibback/external/llistes/llistaCentresDirectori.json,
Escoleta Somnis,escoleta-somnis-palma,guarderia,privado,"Carrer BASTERA NA, 19",07010,Es Secar de la Real,palma,Palma,871740579,,,0,36,,,"Escoleta Somnis es un centro privado de primer ciclo de educación infantil (0-3 años) ubicado en Carrer BASTERA NA, 19, 07010, en Es Secar de la Real, dentro del término municipal de Palma. No constan en la fuente oficial consultada datos sobre comedor, horario ampliado o idiomas, por lo que conviene preguntar directamente al centro.",https://www3.caib.es/xestibback/external/llistes/llistaCentresDirectori.json,
