name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
Lazarillo de Tormes,lazarillo-de-tormes-salamanca,escuela-infantil,publico,"C/ Maestro Serrano, 7",37008,,salamanca,Salamanca,923219922,,,4,36,,comedor,"Lazarillo de Tormes es una escuela infantil de titularidad de la Junta de Castilla y León en C/ Maestro Serrano, 7, 37008, dentro de la red pública autonómica de primer ciclo de educación infantil (0-3 años) de Salamanca.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
San Bernardo,san-bernardo-salamanca,escuela-infantil,publico,"C/ Arapiles, 16",37007,,salamanca,Salamanca,923222419,,http://eeisanbernardo.centros.educa.jcyl.es/sitio/,4,36,,comedor,"En C/ Arapiles, 16, 37007, Salamanca, la escuela infantil San Bernardo pertenece a la red de titularidad de la Junta de Castilla y León, dentro de la oferta pública de primer ciclo de educación infantil (0-3 años) de la ciudad.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Virgen de la Vega,virgen-de-la-vega-salamanca,escuela-infantil,publico,"Av. de los Comuneros, 2",37003,,salamanca,Salamanca,923223287,,,4,36,,comedor,"Virgen de la Vega, en Av. de los Comuneros, 2, 37003, es una de las tres escuelas infantiles de titularidad de la Junta de Castilla y León en Salamanca capital, dentro del primer ciclo de educación infantil (0-3 años).",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Los Pizarrales,los-pizarrales-salamanca,escuela-infantil,publico,"C/ Obispo Alcolea, s/n",37006,Pizarrales,salamanca,Salamanca,923255366,,,4,36,"9:00-14:00h (septiembre), con servicio de madrugadores (7:30/8:30-9:00h) de octubre a mayo y posibilidad de ""tardones"" (15:30-17:00h) según demanda",comedor;servicio-madrugadores,"La Escuela Infantil Municipal Los Pizarrales, en C/ Obispo Alcolea, s/n, 37006, en el barrio de Pizarrales, es la mayor de las 4 escuelas infantiles del Ayuntamiento de Salamanca, con 135 plazas gratuitas de primer ciclo.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
El Rollo,el-rollo-salamanca,escuela-infantil,publico,"C/ Ponferrada, s/n",37003,El Rollo,salamanca,Salamanca,923182106,,,4,36,"9:00-14:00h (septiembre), con servicio de madrugadores (7:30/8:30-9:00h) de octubre a mayo y posibilidad de ""tardones"" (15:30-17:00h) según demanda",comedor;servicio-madrugadores,"En C/ Ponferrada, s/n, 37003, en el barrio de El Rollo, la Escuela Infantil Municipal El Rollo forma parte de la red de 4 escuelas del Ayuntamiento de Salamanca, con 94 plazas gratuitas del primer ciclo de educación infantil.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Garrido,garrido-salamanca,escuela-infantil,publico,"C/ Gloria Fuertes, s/n",37004,Garrido,salamanca,Salamanca,923237481,,,4,36,"9:00-14:00h (septiembre), con servicio de madrugadores (7:30/8:30-9:00h) de octubre a mayo y posibilidad de ""tardones"" (15:30-17:00h) según demanda",comedor;servicio-madrugadores,"Garrido es una de las 4 escuelas infantiles municipales de Salamanca, ubicada en C/ Gloria Fuertes, s/n, 37004, en el barrio de Garrido —el más poblado de la ciudad—, con 88 plazas gratuitas del primer ciclo de educación infantil (0-3 años).",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
El Zurguén,el-zurguen-salamanca,escuela-infantil,publico,"Av. Virgen del Cueto, s/n",37008,El Zurguén,salamanca,Salamanca,923057082,,,4,36,"9:00-14:00h (septiembre), con servicio de madrugadores (7:30/8:30-9:00h) de octubre a mayo y posibilidad de ""tardones"" (15:30-17:00h) según demanda",comedor;servicio-madrugadores,"La Escuela Infantil Municipal El Zurguén, en Av. Virgen del Cueto, s/n, 37008, en el barrio homónimo al sur del río Tormes, ofrece 94 plazas gratuitas de primer ciclo dentro de la red municipal del Ayuntamiento de Salamanca.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
PSN Bicos,psn-bicos-salamanca,guarderia,privado,"C/ Juan Maluquer, 21",37007,,salamanca,Salamanca,923216810,bicossalamanca@psnbicos.es,https://www.psnbicos.es/,4,36,"7:30h en adelante, de lunes a viernes, todo el año (julio y agosto de 7:30 a 15:30h)",cocina-propia;horario-ampliado;bilingue;patio-exterior,"PSN Bicos, en C/ Juan Maluquer, 21, 37007, Salamanca, es un centro privado adherido al programa de gratuidad de la Junta de Castilla y León. Su web oficial confirma proyecto bilingüe, cocina propia, horario ampliado desde las 7:30h y patio exterior.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Chispitinas,chispitinas-salamanca,guarderia,privado,"Av. Filiberto Villalobos, 82",37006,,salamanca,Salamanca,923134236,,https://chispitinas.com/,4,36,horario flexible de 7:30 a 18:00h,comedor;horario-ampliado;psicomotricidad;escuela-de-padres,"Chispitinas atiende el primer ciclo de educación infantil (0-3 años) en Av. Filiberto Villalobos, 82, 37006, Salamanca. Su web oficial confirma servicio de comedor, horario flexible de 7:30 a 18:00h, aula de psicomotricidad y escuela de padres.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Educa Babys,educa-babys-salamanca,guarderia,privado,"C/ Salesas, 10",37005,,salamanca,Salamanca,661736619,info@educababys.com,https://educababys.com/,3,36,"de 7:00 a 20:00h, de lunes a viernes",comedor;ingles;psicomotricidad;musica;horario-ampliado,"Educa Babys, entre los barrios de Capuchinos y Garrido en C/ Salesas, 10, 37005, Salamanca, es un centro privado adherido a la gratuidad de la Junta de Castilla y León. Su web propia confirma proyecto de inglés, psicomotricidad, música y horario ampliado.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
