name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
Concilio,concilio-sevilla,guarderia,privado,"Plaza Juan XXIII, 1, Acc. A",41006,,sevilla,Sevilla,619524398,escuelainfantilconcilio@hotmail.com,,4,36,,,"Concilio atiende el primer ciclo de educación infantil (0-3 años) en Plaza Juan XXIII, 1, Acc. A, 41006, Sevilla. Es un centro adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. Los servicios específicos del centro no están confirmados en fuente oficial; conviene solicitarlos directamente.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Gente Menuda,gente-menuda-sevilla,guarderia,privado,"Urb. Andalucía Residencial 2ª Fase, Bloque 1, Bajo A",41020,,sevilla,Sevilla,954404687,info@eigentemenuda.es,https://www.gentemenuda.es/,4,36,De 7:30 a 17:00 h.,comedor;bilingue;patio-exterior;uniformes,"Gente Menuda es un centro privado de educación infantil de primer ciclo en Urb. Andalucía Residencial 2ª Fase, Bloque 1, Bajo A, 41020 (Sevilla), dirigido a niños de 0 a 3 años. Según su propia web oficial, ofrece los siguientes servicios: comedor, proyecto bilingüe, patio exterior, uniforme.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Inmaculado Corazón de María,inmaculado-corazon-de-maria-sevilla,guarderia,privado,"Plaza Corazón de María, 1",41016,,sevilla,Sevilla,954441377,41004681.edu@juntadeandalucia.es,,4,36,,,"Inmaculado Corazón de María, con sede en Plaza Corazón de María, 1, 41016 (Sevilla), figura en el listado de centros de primer ciclo de educación infantil de la Junta de Andalucía, adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. Recomendamos confirmar servicios y horario directamente con el centro.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Escuelas Francesas,escuelas-francesas-sevilla,guarderia,privado,"C/ Almendralejo, 18",41020,,sevilla,Sevilla,954671213,subdirector.eeff@gmail.com,,4,36,,,"Escuelas Francesas atiende el primer ciclo de educación infantil (0-3 años) en C/ Almendralejo, 18, 41020, Sevilla. Es un centro no adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. Los servicios específicos del centro no están confirmados en fuente oficial; conviene solicitarlos directamente.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
5ª Avenida,5-avenida-sevilla,guarderia,privado,"Avda. Charles Darwin, s/n. Local 3 A. Isla de la Cartuja",41092,,sevilla,Sevilla,954081166,rosariomendez@grupoquintavenida.com,https://www.grupoquintavenida.com/cartuja.html,4,36,,comedor;bilingue,"5ª Avenida es un centro privado de educación infantil de primer ciclo en Avda. Charles Darwin, s/n. Local 3 A. Isla de la Cartuja, 41092 (Sevilla), dirigido a niños de 0 a 3 años. Según su propia web oficial, ofrece los siguientes servicios: comedor, proyecto bilingüe.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Kirikou,kirikou-sevilla,guarderia,privado,"C/ Mercurio, 2, Bajo E",41003,,sevilla,Sevilla,607303351,guarderiakirikou@gmail.com,,4,36,,,"Localizado en C/ Mercurio, 2, Bajo E, 41003, Sevilla, Kirikou es un centro privado incluido en el registro de centros de primer ciclo de educación infantil de la Junta de Andalucía, adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. No hay constancia oficial de servicios adicionales.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Los Lunares,los-lunares-sevilla,guarderia,privado,"Plaza Salesiano Don Ubaldo, 7, Es:7, Pt:17",41010,,sevilla,Sevilla,605472550,ceiloslunares@gmail.com,,4,36,,,"Centro de educación infantil de primer ciclo situado en Plaza Salesiano Don Ubaldo, 7, Es:7, Pt:17, 41010, Sevilla: Los Lunares, adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. No consta información oficial adicional sobre servicios concretos en el momento de esta consulta.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Kindergarden Jardilín,kindergarden-jardilin-sevilla,guarderia,privado,"C/ Esperanza de Triana, 37",41010,,sevilla,Sevilla,603855585,ESCUELAINFANTIL@KINDERGARDENJARDILIN.ES,https://kindergardenjardilin.es/,4,36,,ingles;patio-exterior;psicomotricidad;escuela-de-padres;orientacion-pedagogica,"Kindergarden Jardilín, con sede en C/ Esperanza de Triana, 37, 41010 (Sevilla), es un centro privado de primer ciclo de educación infantil que confirma en su web oficial servicios como inglés, patio exterior, psicomotricidad, escuela de padres y madres, orientación pedagógica.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
Oliver,oliver-sevilla,guarderia,privado,"Plaza Doctora Álvarez Silván, 1",41013,,sevilla,Sevilla,954614731,e.i.oliver@hotmail.com,,4,36,,,"Oliver, con sede en Plaza Doctora Álvarez Silván, 1, 41013 (Sevilla), figura en el listado de centros de primer ciclo de educación infantil de la Junta de Andalucía, adherido al Programa de Ayuda a las Familias de la Junta de Andalucía. Recomendamos confirmar servicios y horario directamente con el centro.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
El Osito Azul,el-osito-azul-sevilla,guarderia,privado,"C/ San Juan de Aznalfarache, 2",41006,,sevilla,Sevilla,619468419,el_osito_azul@telefonica.net,,4,36,,,"El Osito Azul es un centro privado de educación infantil de primer ciclo en C/ San Juan de Aznalfarache, 2, 41006 (Sevilla), adherido al Programa de Ayuda a las Familias de la Junta de Andalucía según el registro oficial. No hay servicios adicionales confirmados en fuente oficial; se recomienda consultarlos directamente con el centro.",https://www.juntadeandalucia.es/datosabiertos/portal/dataset/centros-de-primer-ciclo-de-educacion-infantil-en-andalucia,
