name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
Los Ángeles,los-angeles-valencia,escuela-infantil,concertado,Carrer Joaquin Costa 10,46005,,valencia,Valencia,963325044,,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46009666,0,36,,,"Los Ángeles es un centro privado de educación infantil situado en el carrer Joaquín Costa 10, en Valencia. Figura en el Registre de Centres Docents de la Generalitat Valenciana en régimen privado concertado, atendiendo a niños del primer ciclo de 0 a 3 años. Recomendamos contactar directamente con el centro para conocer plazas, horarios y servicios disponibles.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Concha Espina i,concha-espina-i-valencia,escuela-infantil,concertado,Carrer Carters 22-24,46017,,valencia,Valencia,963571411,,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46010061,0,36,,comedor;catering,"Situado en el carrer Carters 22-24 de Valencia, Concha Espina I es un centro de educación infantil de titularidad privada en régimen concertado. Según el Registre de Centres Docents de la Generalitat Valenciana, atiende el primer ciclo de la etapa infantil (0-3 años). Se recomienda contactar con el centro para conocer horarios, servicios y disponibilidad de plazas.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Ciudad Jardín,ciudad-jardin-valencia,guarderia,privado,Carrer José de Orga 4,46022,,valencia,Valencia,963725768,,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46013013,0,36,,bilingue;ingles;cocina-propia;actividades-extraescolares;musica;verano-campamentos,"Ciudad Jardín es una guardería privada ubicada en el carrer José de Orga 4, en Valencia (46022). Consta en el Registre de Centres Docents de la Generalitat Valenciana como centro de educación infantil de titularidad privada. Antes de solicitar información sobre plazas, horarios o servicios, recomendamos ponerse en contacto directamente con el centro.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Bamby-abade,bamby-abade-valencia,guarderia,privado,Carrer General Gil Dolz 12,46010,,valencia,Valencia,963629466,,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46013621,0,36,,comedor;catering;horario-ampliado;musica;actividades-extraescolares;verano-campamentos,"Bamby-Abade es una guardería privada situada en el carrer General Gil Dolz 12, Valencia (46010), dedicada al primer ciclo de educación infantil. Su titular es una persona física, según consta en el Registre de Centres Docents de la Generalitat Valenciana. Recomendamos confirmar directamente con el centro los servicios, horarios y plazas disponibles antes de decidir.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Santa Klaus,santa-klaus-valencia,guarderia,privado,Carrer Jaime Roig 6,46010,,valencia,Valencia,963692358,,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46013633,0,36,,,"En el carrer Jaime Roig 6 de Valencia (46010) se encuentra Santa Klaus, una guardería privada de primer ciclo de educación infantil. El centro figura en el Registre de Centres Docents de la Generalitat Valenciana con titularidad de una persona física. Para conocer horarios, servicios y disponibilidad de plazas, recomendamos contactar directamente con el centro.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Apóstol Santiago,apostol-santiago-valencia,escuela-infantil,publico,Plaça Periodista Vicente Ros Belda 1,46021,,valencia,Valencia,961205470,,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46015174,0,36,,comedor;bilingue;ingles;musica;patio-exterior,"Apóstol Santiago es una escuela infantil de titularidad pública, dependiente de la Generalitat Valenciana, situada en la plaça Periodista Vicente Ros Belda, 1, en Valencia (46021). Según el Registre de Centres Docents, atiende la etapa de educación infantil. Recomendamos contactar directamente con el centro para conocer edades atendidas, horarios y proceso de admisión.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Niño Jesús,nino-jesus-valencia,escuela-infantil,publico,Carrer San Clemente 13,46015,,valencia,Valencia,961205855,,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46015231,0,36,,,"Niño Jesús es una escuela infantil de titularidad pública, dependiente del Departament d'Educació de la Generalitat Valenciana, situada en el carrer San Clemente, 13, en Valencia (46015). Recomendamos contactar directamente con el centro para conocer la etapa educativa, horarios y proceso de acceso, ya que el registro oficial no los especifica.",https://dadesobertes.gva.es/va/dataset/edu-centros,
el Tren,el-tren-valencia,guarderia,privado,Carrer Sagunto 105,46009,,valencia,Valencia,963473375,,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46015344,0,36,,horario-ampliado,"El Tren es una guardería privada de primer ciclo de educación infantil ubicada en el carrer Sagunto 105, Valencia (46009). Su titular es EI El Tren Joam, SL, según el Registre de Centres Docents de la Generalitat Valenciana. Antes de solicitar plaza, recomendamos confirmar directamente con el centro los servicios y horarios disponibles.",https://dadesobertes.gva.es/va/dataset/edu-centros,
Centro Social el Grao,centro-social-el-grao-valencia,escuela-infantil,publico,Carrer Victor Moya S/n,46022,,valencia,Valencia,961205860,,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46020236,0,36,,comedor,"Escuela infantil de primer ciclo de titularidad pública, Centro Social el Grao depende de la Generalitat Valenciana y está situada en el carrer Víctor Moya, s/n, en el barrio del Grau, Valencia (46022). Atiende a niños de 0 a 3 años. Recomendamos contactar directamente con el centro para conocer horarios y proceso de admisión.",https://dadesobertes.gva.es/va/dataset/edu-centros,
L'ànec Boig,lanec-boig-valencia,guarderia,privado,Avinguda Primero de Mayo 43,46017,,valencia,Valencia,963773788,,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46021401,0,36,,comedor,"L'Ànec Boig, guardería privada de primer ciclo de educación infantil, está situada en la avinguda Primero de Mayo 43, Valencia (46017). El centro consta en el Registre de Centres Docents de la Generalitat Valenciana bajo la titularidad de L'Ànec Boig, SL. Se recomienda contactar directamente para conocer horarios, servicios y plazas disponibles.",https://dadesobertes.gva.es/va/dataset/edu-centros,
el Castillo,el-castillo-valencia,guarderia,privado,Carrer Palleter 28,46008,,valencia,Valencia,963821785,,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46021642,0,36,,,"Guardería privada de primer ciclo de educación infantil, El Castillo se encuentra en el carrer Palleter 28, Valencia (46008). Según el Registre de Centres Docents de la Generalitat Valenciana, su titularidad corresponde a una persona física. Recomendamos contactar directamente con el centro para conocer servicios, horarios y disponibilidad de plazas.",https://dadesobertes.gva.es/va/dataset/edu-centros,
