name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
Amanecer,amanecer-valladolid,escuela-infantil,publico,"C/ Juana de Castilla, s/n",47014,,valladolid,Valladolid,983330369,,http://eeiamanecer.centros.educa.jcyl.es/sitio/,4,36,,comedor,"Amanecer es una escuela infantil de titularidad de la Junta de Castilla y León en C/ Juana de Castilla, s/n, 47014, dentro de la red pública autonómica de primer ciclo de educación infantil (0-3 años) de Valladolid.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Árbol Sabio,arbol-sabio-valladolid,guarderia,privado,"C/ Villafranca de Duero, 4",47008,,valladolid,Valladolid,983247742,info@arbolsabio.com,https://arbolsabio.com/,4,36,,cocina-propia;ingles;verano-campamentos,"En C/ Villafranca de Duero, 4, 47008, Valladolid, Árbol Sabio atiende a niños de 0 a 3 años dentro del primer ciclo de educación infantil. Es un centro adherido al programa de gratuidad de la Junta de Castilla y León, y su web oficial confirma servicios de cocina propia, inglés y campamentos de verano.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Arco Iris,arco-iris-valladolid,guarderia,privado,"C/ Júpiter, 12",47009,,valladolid,Valladolid,657761603,,,4,36,,,"Arco Iris es una de las escuelas infantiles privadas de Valladolid, con sede en C/ Júpiter, 12, 47009, dirigida a niños de 0 a 3 años. No se han podido confirmar servicios adicionales del enum en fuente oficial o web propia.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Argentinas,argentinas-valladolid,guarderia,privado,"Ctra. de Rueda, 41",47008,,valladolid,Valladolid,692964595,,,4,36,,,"Centro privado de educación infantil situado en Ctra. de Rueda, 41, 47008, Argentinas forma parte de la oferta de primer ciclo (0-3 años) de Valladolid capital. Los servicios específicos del centro no están confirmados en fuente oficial.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Caballito Blanco,caballito-blanco-valladolid,escuela-infantil,publico,"C/ Orden de Malta, 6",47011,Los Santos-Pilarica,valladolid,Valladolid,983857982,,,4,36,"9:00-14:00h, con posibilidad de ampliación mediante servicio de madrugadores",servicio-madrugadores,"En C/ Orden de Malta, 6, 47011, en el barrio de Los Santos-Pilarica, la Escuela Infantil Municipal Caballito Blanco forma parte de la red de 11 escuelas infantiles del Ayuntamiento de Valladolid, con oferta de plazas gratuitas para el tramo 0-3 años.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Campanilla,campanilla-valladolid,escuela-infantil,publico,"C/ Monasterio de Santo Toribio de Liébana, 5",47001,Villa del Prado,valladolid,Valladolid,983375777,,,4,36,"9:00-14:00h, con posibilidad de ampliación mediante servicio de madrugadores",comedor;servicio-madrugadores,"La Escuela Infantil Municipal Campanilla, en C/ Monasterio de Santo Toribio de Liébana, 5, 47001 (Villa del Prado), pertenece a la red pública de escuelas infantiles gestionada por el Ayuntamiento de Valladolid, con plazas gratuitas de primer ciclo de educación infantil.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Casa de Niñas y Niños Maestro Claudio López Serrano,casa-de-ninas-y-ninos-maestro-claudio-lopez-serrano-valladolid,guarderia,privado,"C/ Soto, 64",47010,,valladolid,Valladolid,983254673,,,4,36,,,"En C/ Soto, 64, 47010, Valladolid, Casa de Niñas y Niños Maestro Claudio López Serrano atiende a niños de 0 a 3 años dentro del primer ciclo de educación infantil. No hay servicios adicionales confirmados en fuente oficial; se recomienda consultarlos directamente con el centro.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Casa de Niñas y Niños Pajarillos,casa-de-ninas-y-ninos-pajarillos-valladolid,guarderia,privado,"C/ Tordo, 7",47012,,valladolid,Valladolid,983308942,,,4,36,,,"Ubicado en C/ Tordo, 7, 47012 (Valladolid), Casa de Niñas y Niños Pajarillos es un centro privado que imparte el primer ciclo de educación infantil. Conviene contactar directamente con el centro para conocer horario, precio y servicios disponibles.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Cascabel,cascabel-valladolid,escuela-infantil,publico,"C/ Seminario, 4",47010,Rondilla,valladolid,Valladolid,983100040,,,4,36,"9:00-14:00h, con posibilidad de ampliación mediante servicio de madrugadores",comedor;servicio-madrugadores,"La Escuela Infantil Municipal Cascabel, en C/ Seminario, 4, 47010 (Rondilla), pertenece a la red pública de escuelas infantiles gestionada por el Ayuntamiento de Valladolid, con plazas gratuitas de primer ciclo de educación infantil.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Cascanueces,cascanueces-valladolid,escuela-infantil,publico,"C/ Boedo, 18",47008,Parque Alameda,valladolid,Valladolid,983244927,,,4,36,"9:00-14:00h, con posibilidad de ampliación mediante servicio de madrugadores",comedor;servicio-madrugadores,"La Escuela Infantil Municipal Cascanueces, en C/ Boedo, 18, 47008 (Parque Alameda), pertenece a la red pública de escuelas infantiles gestionada por el Ayuntamiento de Valladolid, con plazas gratuitas de primer ciclo de educación infantil.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Chupetín,chupetin-valladolid,guarderia,privado,"C/ Vinos de Rueda, 12",47008,,valladolid,Valladolid,983246178,,,4,36,,,"En C/ Vinos de Rueda, 12, 47008, Valladolid, Chupetín atiende a niños de 0 a 3 años dentro del primer ciclo de educación infantil. No hay servicios adicionales confirmados en fuente oficial; se recomienda consultarlos directamente con el centro.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Cubillas Jardín de Recreo,cubillas-jardin-de-recreo-valladolid,guarderia,privado,"C/ Roble, 5",47009,,valladolid,Valladolid,648615059,,,4,36,,,"Cubillas Jardín de Recreo atiende el primer ciclo de educación infantil (0-3 años) en C/ Roble, 5, 47009, Valladolid. Es un centro de titularidad privada según el registro oficial de centros docentes de la Junta de Castilla y León.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
El Despertador Infantil 2010,el-despertador-infantil-2010-valladolid,guarderia,privado,"Plaza de Juan Pablo II, 9",47015,,valladolid,Valladolid,983012115,eldi@eldespertadorinfantil.com,https://eldespertadorinfantil.com/,4,36,,comedor;cocina-propia;horario-ampliado;patio-exterior,"En Plaza de Juan Pablo II, 9, 47015, Valladolid, El Despertador Infantil 2010 atiende a niños de 0 a 3 años dentro del primer ciclo de educación infantil. Es un centro adherido al programa de gratuidad de la Junta de Castilla y León, y su web oficial confirma servicios de comedor, cocina propia, horario ampliado y patio exterior.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
El Globo,el-globo-valladolid,escuela-infantil,publico,"C/ Cantabria, 4",47010,Barrio España,valladolid,Valladolid,983256901,,,4,36,"9:00-14:00h, con posibilidad de ampliación mediante servicio de madrugadores",comedor;servicio-madrugadores,"El Globo es una de las 11 escuelas infantiles municipales de Valladolid, ubicada en C/ Cantabria, 4, 47010, en el barrio de Barrio España, con oferta de plazas gratuitas del primer ciclo de educación infantil (0-3 años).",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
El Principito,el-principito-valladolid,escuela-infantil,publico,"Pº del Jardín Botánico, s/n",47009,La Victoria,valladolid,Valladolid,983356942,,,4,36,"9:00-14:00h, con posibilidad de ampliación mediante servicio de madrugadores",comedor;servicio-madrugadores,"El Principito es una de las 11 escuelas infantiles municipales de Valladolid, ubicada en Pº del Jardín Botánico, s/n, 47009, en el barrio de La Victoria, con oferta de plazas gratuitas del primer ciclo de educación infantil (0-3 años).",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
El Tobogán,el-tobogan-valladolid,escuela-infantil,publico,"C/ La Mota, 12",47008,La Rubia,valladolid,Valladolid,983223813,,,4,36,"9:00-14:00h, con posibilidad de ampliación mediante servicio de madrugadores",comedor;servicio-madrugadores,"El Tobogán es una de las 11 escuelas infantiles municipales de Valladolid, ubicada en C/ La Mota, 12, 47008, en el barrio de La Rubia, con oferta de plazas gratuitas del primer ciclo de educación infantil (0-3 años).",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Fantasía,fantasia-valladolid,escuela-infantil,publico,"C/ Rastrojo, s/n",47014,Huerta del Rey,valladolid,Valladolid,983356549,,,4,36,"9:00-14:00h, con posibilidad de ampliación mediante servicio de madrugadores",comedor;servicio-madrugadores,"En C/ Rastrojo, s/n, 47014, en el barrio de Huerta del Rey, la Escuela Infantil Municipal Fantasía forma parte de la red de 11 escuelas infantiles del Ayuntamiento de Valladolid, con oferta de plazas gratuitas para el tramo 0-3 años.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Hakuna Matata,hakuna-matata-valladolid,guarderia,privado,"Plaza San Francisco de Asís, 1",47013,,valladolid,Valladolid,678873192,secretaria@sanfranciscodeasis.org,https://www.sanfranciscodeasis.org/escuela-infantil-hakuna-matata/,4,36,,,"En Plaza San Francisco de Asís, 1, 47013, Valladolid, Hakuna Matata atiende a niños de 0 a 3 años dentro del primer ciclo de educación infantil. No hay servicios adicionales confirmados en fuente oficial; se recomienda consultarlos directamente con el centro.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Happy Kids House,happy-kids-house-valladolid,guarderia,privado,"C/ Isaac Quintero, 6",47005,,valladolid,Valladolid,983080072,happykidshouse@happykidshouse.es,https://happykidshouse.es/,4,36,,ingles;comedor;verano-campamentos,"Situado en C/ Isaac Quintero, 6, 47005, Valladolid, Happy Kids House es un centro privado que atiende el primer ciclo de educación infantil (0-3 años) y confirma en su web oficial servicios de inglés, comedor y campamentos de verano.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Kid's Garden 2,kid-s-garden-2-valladolid,guarderia,privado,"C/ Cañada Real, 102",47008,,valladolid,Valladolid,650535438,,https://kidsgarden.edu.es/valladolid/,4,36,,bilingue,"Kid's Garden 2 es un centro privado de educación infantil de primer ciclo (0-3 años) en C/ Cañada Real, 102, 47008 (Valladolid), con plazas dentro del programa de gratuidad de la Junta de Castilla y León. Según su propia web, ofrece proyecto bilingüe.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
Kid's Garden 3,kid-s-garden-3-valladolid,guarderia,privado,"C/ Colón, s/n",47003,,valladolid,Valladolid,618199996,,https://kidsgarden.edu.es/valladolid/,4,36,,bilingue,"En C/ Colón, s/n, 47003, Valladolid, Kid's Garden 3 atiende a niños de 0 a 3 años dentro del primer ciclo de educación infantil. Es un centro adherido al programa de gratuidad de la Junta de Castilla y León, y su web oficial confirma servicios de proyecto bilingüe.",https://analisis.datosabiertos.jcyl.es/explore/dataset/directorio-de-centros-docentes/,
