name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
Escuela Infantil Municipal Los Vientos,escuela-infantil-municipal-los-vientos-zaragoza,escuela-infantil,publico,"Calle Poeta Luis Cernuda, s/n",50008,Actur-Rey Fernando,zaragoza,Zaragoza,976515750,einfantil-vientos@zaragoza.es,,4,36,De 8:30 a 16:30 h (permanencia máxima de 8 horas por niño/a).,"comedor;cocina-propia;escuela-de-padres;patio-exterior;psicomotricidad","Escuela Infantil Municipal Los Vientos, con sede en Calle Poeta Luis Cernuda, s/n, 50008 (barrio de Actur-Rey Fernando), forma parte de la red pública municipal de educación infantil de Zaragoza. Atiende de 4 a 36 meses, dispone de cocina propia para el comedor y organiza actividades de ""Escuela de Madres y Padres"" durante el curso.",https://www.zaragoza.es/sede/portal/escuelas-infantiles/centros,
Escuela Infantil Municipal María Urrea,escuela-infantil-municipal-maria-urrea-zaragoza,escuela-infantil,publico,"Calle Luis Legaz Lacambra, 44",50018,Actur-Rey Fernando,zaragoza,Zaragoza,976737716,einfantil-acturnorte@zaragoza.es,,4,36,De 8:30 a 16:30 h (permanencia máxima de 8 horas por niño/a).,"comedor;cocina-propia;escuela-de-padres;patio-exterior","En el barrio de Actur-Rey Fernando, en Calle Luis Legaz Lacambra, 44, 50018, se encuentra Escuela Infantil Municipal María Urrea, escuela infantil pública de la red municipal de Zaragoza. Atiende de 4 a 36 meses en horario de 8:30 a 16:30 h, con comedor de cocina propia y proyecto curricular común a las trece escuelas municipales.",https://www.zaragoza.es/sede/portal/escuelas-infantiles/centros,
Escuela Infantil Municipal El Bosque,escuela-infantil-municipal-el-bosque-zaragoza,escuela-infantil,publico,"Calle Echegaray y Caballero, 5",50003,Casco Histórico,zaragoza,Zaragoza,976430862,einfantil-cascohistorico@zaragoza.es,,4,36,De 8:30 a 16:30 h (permanencia máxima de 8 horas por niño/a).,"comedor;cocina-propia;escuela-de-padres;patio-exterior","Escuela Infantil Municipal El Bosque pertenece a la red de escuelas infantiles municipales de Zaragoza, con sede en Calle Echegaray y Caballero, 5, 50003, barrio de Casco Histórico. Ofrece comedor con cocina propia y ""Escuela de Madres y Padres"". El proceso de admisión, con baremo público, se abre cada año en fechas fijadas por el Ayuntamiento.",https://www.zaragoza.es/sede/portal/escuelas-infantiles/centros,
Escuela Infantil Municipal Parque Bruil,escuela-infantil-municipal-parque-bruil-zaragoza,escuela-infantil,publico,"Calle Vicente López Abadía, 4",50002,Casco Histórico,zaragoza,Zaragoza,976203332,einfantil-parquebruil@zaragoza.es,,4,36,De 8:30 a 16:30 h (permanencia máxima de 8 horas por niño/a).,"comedor;cocina-propia;escuela-de-padres;patio-exterior","El Ayuntamiento de Zaragoza gestiona Escuela Infantil Municipal Parque Bruil, en Calle Vicente López Abadía, 4, 50002, barrio de Casco Histórico. Cubre el primer ciclo de infantil (4-36 meses) con comida elaborada en el propio centro. Dado que la demanda suele ser alta, conviene informarse con antelación sobre los plazos de solicitud.",https://www.zaragoza.es/sede/portal/escuelas-infantiles/centros,
Escuela Infantil Municipal El Andén,escuela-infantil-municipal-el-anden-zaragoza,escuela-infantil,publico,"Calle San Pedro Arbués, 4",50010,Delicias,zaragoza,Zaragoza,976348103,einfantil-delicias@zaragoza.es,,4,36,De 8:30 a 16:30 h (permanencia máxima de 8 horas por niño/a).,"comedor;cocina-propia;escuela-de-padres;patio-exterior","En el barrio de Delicias, en Calle San Pedro Arbués, 4, 50010, se encuentra Escuela Infantil Municipal El Andén, escuela infantil pública de la red municipal de Zaragoza. Atiende de 4 a 36 meses en horario de 8:30 a 16:30 h, con comedor de cocina propia y proyecto curricular común a las trece escuelas municipales.",https://www.zaragoza.es/sede/portal/escuelas-infantiles/centros,
Escuela Infantil Municipal Pirineos,escuela-infantil-municipal-pirineos-zaragoza,escuela-infantil,publico,"Calle Valle de Gistaín, 44",50015,El Rabal,zaragoza,Zaragoza,976513323,einfantil-pirineos@zaragoza.es,,4,36,De 8:30 a 16:30 h (permanencia máxima de 8 horas por niño/a).,"comedor;cocina-propia;escuela-de-padres;patio-exterior","El Ayuntamiento de Zaragoza gestiona Escuela Infantil Municipal Pirineos, en Calle Valle de Gistaín, 44, 50015, barrio de El Rabal. Cubre el primer ciclo de infantil (4-36 meses) con comida elaborada en el propio centro. Dado que la demanda suele ser alta, conviene informarse con antelación sobre los plazos de solicitud.",https://www.zaragoza.es/sede/portal/escuelas-infantiles/centros,
Escuela Infantil Municipal Villacampa,escuela-infantil-municipal-villacampa-zaragoza,escuela-infantil,publico,"Calle Pedro Villacampa, 36",50015,El Rabal,zaragoza,Zaragoza,976523283,einfantil-villacampa@zaragoza.es,,4,36,De 8:30 a 16:30 h (permanencia máxima de 8 horas por niño/a).,"comedor;cocina-propia;escuela-de-padres;patio-exterior","En el barrio de El Rabal, en Calle Pedro Villacampa, 36, 50015, se encuentra Escuela Infantil Municipal Villacampa, escuela infantil pública de la red municipal de Zaragoza. Atiende de 4 a 36 meses en horario de 8:30 a 16:30 h, con comedor de cocina propia y proyecto curricular común a las trece escuelas municipales.",https://www.zaragoza.es/sede/portal/escuelas-infantiles/centros,
Escuela Infantil Municipal El Tren,escuela-infantil-municipal-el-tren-zaragoza,escuela-infantil,publico,"Calle Reino, 5",50003,La Almozara,zaragoza,Zaragoza,976280360,einfantil-tren@zaragoza.es,,4,36,De 8:30 a 16:30 h (permanencia máxima de 8 horas por niño/a).,"comedor;cocina-propia;escuela-de-padres;patio-exterior","Situada en Calle Reino, 5, 50003 (barrio de La Almozara), Escuela Infantil Municipal El Tren forma parte de la red municipal de escuelas infantiles de Zaragoza. Atiende a niños de 4 a 36 meses, con horario de 8:30 a 16:30 h y comedor con cocina propia. La admisión se realiza mediante convocatoria municipal, habitualmente en primavera.",https://www.zaragoza.es/sede/portal/escuelas-infantiles/centros,
Escuela Infantil Municipal La Piraña,escuela-infantil-municipal-la-pirana-zaragoza,escuela-infantil,publico,"Calle Florentino Ballesteros, 2",50013,Las Fuentes,zaragoza,Zaragoza,976493670,einfantil-pirana@zaragoza.es,,4,36,De 8:30 a 16:30 h (permanencia máxima de 8 horas por niño/a).,"comedor;cocina-propia;escuela-de-padres","El Ayuntamiento de Zaragoza gestiona Escuela Infantil Municipal La Piraña, en Calle Florentino Ballesteros, 2, 50013, barrio de Las Fuentes. Cubre el primer ciclo de infantil (4-36 meses) con comida elaborada en el propio centro. Dado que la demanda suele ser alta, conviene informarse con antelación sobre los plazos de solicitud.",https://www.zaragoza.es/sede/portal/escuelas-infantiles/centros,
Escuela Infantil Municipal Los Ibones,escuela-infantil-municipal-los-ibones-zaragoza,escuela-infantil,publico,"Calle Antonio Leyva, 102",50011,Oliver-Valdefierro,zaragoza,Zaragoza,976489160,einfantil-oliver@zaragoza.es,,4,36,De 8:30 a 16:30 h (permanencia máxima de 8 horas por niño/a).,"comedor;cocina-propia;escuela-de-padres;patio-exterior","El Ayuntamiento de Zaragoza gestiona Escuela Infantil Municipal Los Ibones, en Calle Antonio Leyva, 102, 50011, barrio de Oliver-Valdefierro. Cubre el primer ciclo de infantil (4-36 meses) con comida elaborada en el propio centro. Dado que la demanda suele ser alta, conviene informarse con antelación sobre los plazos de solicitud.",https://www.zaragoza.es/sede/portal/escuelas-infantiles/centros,
